ID,Code,Title,Description,Resource Class,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Access Rights,Suppressed Record,Identifier,Tags,Admin Note
harvest_05a-03,05a-03,Harvest record for General Land Office Township Plats: Minnesota,Harvest record - temporary,Series,draft,Custom data portal,,HTML,,2021-04-26,Manual curation,Annual,template_children,Public,true,05a-03,,
harvest_05d-04,05d-04,Harvest record for Minnesota Geological Survey County Atlas Series,Harvest record - temporary,Series,draft,,,,,2021-04-26,Manual curation,Annual,template_children,Public,true,05d-04,ogm,
harvest_05d-07,05d-07,Harvest record for ArcGIS Online at the University of Minnesota,Harvest record - temporary,Series,draft,ArcGIS Online,https://umn.maps.arcgis.com/home/search.html?restrict=false&sortField=relevance&sortOrder=desc&searchTerm=owner%3A%22University_of_Minnesota%22#content,HTML,,2025-08-24,Automated retrieval,Annual,py_arcgis_online,Public,true,05d-07,ogm,
harvest_05d-10,05d-10,Harvest record for National Historical Geographic Information System (NHGIS),Harvest record - temporary,Series,draft,,,,,2021-04-27,Manual curation,Annual,template_children,Public,true,05d-10,,
harvest_14d-02,14d-02,Harvest record for ERDDAP,Harvest record - temporary,Series,draft,Custom HTML/JS,https://hfr.marine.rutgers.edu/erddap/info/index.csv,CSV endpoint,,2025-09-22,Automated retrieval,Annual,template_csv,Public,true,14d-02,ogm,"Updated from https://hfr.marine.rutgers.edu/erddap/index.html September 22, 2025"
harvest_88-0001,88-0001,Harvest record for ORNL LandScan Viewer,Harvest record - temporary,Series,draft,Custom HTML/JS,,,,2024-12-30,Manual curation,Annual,template_children,Public,true,88-0001,,
harvest_999-0003,999-0003,Harvest record for PolicyMap,Harvest record - temporary,Series,draft,,,,,2021-04-27,Manual curation,Annual,template_children,Public,true,999-0003,,
harvest_999-0004,999-0004,Harvest record for SimplyAnalytics,Harvest record - temporary,Series,draft,,,,,2020-11-18,Manual curation,Annual,template_children,Public,true,999-0004,,
harvest_999-0010,999-0010,Harvest record for Fire Insurance Maps Online (FIMo) [All States],Harvest record - temporary,Series,draft,,,,,2021-04-27,Manual curation,Annual,template_children,Public,true,999-0010,,
harvest_999-0011,999-0011,Harvest record for Digital Sanborn Maps (Black & White) [All States] {1867-1970},Harvest record - temporary,Series,draft,,,,,2021-04-27,Manual curation,Annual,template_children,Public,true,999-0011,,
harvest_standalone_websites,w00_01,Harvest record for standalone websites,"A grouping of websites that provide geospatial data or services but are not currently indexed for individual dataset records. These resources are monitored periodically to verify availability, detect platform or URL changes, and identify opportunities for future harvesting (e.g., migration to ArcGIS Hub or other harvestable platforms).",Series,draft,,,,,,Manual curation,Annual,template_website,Public,true,,,
harvest_standalone_resources,r00_01,Harvest record for standalone resources,"A grouping for one off datasets, maps or other resources that are not part of a group submission",Series,draft,,,,,,Manual curation,Annual,template_children,Public,true,,,
harvest_01d-00,01d-00,Harvest record for Indiana University Digital Collections,Harvest record - temporary,Series,draft,Samvera Hyrax,,,,2025-08-06,Mediated deposit,Annual,template_csv,Public,true,01d-00,ogm,
harvest_01d-04,01d-04,Harvest record for Hoosier Resilience Index: Indiana,Harvest record - temporary,Series,draft,ArcGIS Online,,,,2021-10-21,Automated retrieval,Annual,py_arcgis_online,Public,true,01d-04,,
harvest_01d-05,01d-05,Harvest record for Indiana Sanborn Maps,Harvest record - temporary,Series,draft,IU DataCORE,,,,2024-03-07,Mediated deposit,Annual,template_csv,Public,true,01d-05,ogm,
harvest_02d-01,02d-01,Harvest record for Digital Collections at the University of Illinois at Urbana-Champaign Library,Harvest record - temporary,Series,draft,Blacklight,https://digital.library.illinois.edu/oai-pmh/idhh,OAI-PMH,,2021-04-27,Automated retrieval,Annual,py_oaipmh,Public,true,02d-01,ogm,
harvest_03d-01,03d-01,Harvest record for University of Iowa Digital Library: Atlases and Maps,Harvest record - temporary,Series,draft,Islandora,https://digital.lib.uiowa.edu/oai2/oai.php?verb=ListRecords&metadataPrefix=mods&set=ui_dep,OAI-PMH,,2025-09-16,Automated retrieval,Annual,py_oaipmh,Public,true,03d-01,ogm,
harvest_04d-01,04d-01,Harvest record for University of Maryland Digital Collections,Harvest record - temporary,Series,draft,PHP,http://digital.lib.umd.edu/oaicat/OAIHandler,OAI-PMH,,2021-04-27,Automated retrieval,Annual,py_oaipmh,Public,true,04d-01,ogm,
harvest_05d-01_csv,05d-01,Harvest record for UMedia: University of Minnesota CSVs,Harvest record - temporary,Series,draft,CONTENTdm-RubyOnRails,https://umedia.lib.umn.edu/search.json,JSON API,,2026-03-15,Mediated deposit,Annual,template_csv,Public,true,05d-01,ogm,
harvest_05d-01_py,05d-01,Harvest record for UMedia: University of Minnesota python harvest,Harvest record - temporary,Series,draft,CONTENTdm-RubyOnRails,https://umedia.lib.umn.edu/search.json,JSON API,,2025-12-31,Automated retrieval,Annual,py_umedia,Public,true,05d-01,ogm,
harvest_05d-03,05d-03,Harvest record for University of Minnesota Digital Conservancy DRUM,Harvest record - temporary,Series,draft,DSpace,,,,2021-04-26,Manual curation,Annual,template_children,Public,true,05d-03,ogm,
harvest_05d-06,05d-06,Harvest record for Polar Geospatial Center,Harvest record - temporary,Series,draft,Angular JS,,,,2021-04-26,Mediated deposit,Annual,template_csv,Public,true,05d-06,ogm,
harvest_05d-11,05d-11,Harvest record for Minnesota Natural Resource Atlas,Harvest record - temporary,Series,draft,Custom data portal,,,,2022-05-20,Mediated deposit,Annual,template_csv,Public,true,05d-11,,
harvest_06a-03,06a-03,Harvest record for Michiganology,Harvest record - temporary,Series,draft,Preservica,,HTML,,2025-08-24,Mediated deposit,Annual,py_opex,Public,true,06a-03,,
harvest_06d-01,06d-01,Harvest record for Michigan State University Libraries Maps,Harvest record - temporary,Series,draft,HTML/JS,https://d.lib.msu.edu/oai,OAI-PMH,,2021-04-27,Automated retrieval,Annual,py_mods,Public,true,06d-01,ogm,
harvest_07d-01,07d-01,Harvest record for Clark Library Scanned Maps,Harvest record - temporary,Series,draft,jsDelivr,,,,2021-04-16,Mediated deposit,Annual,template_csv,Public,true,07d-01,ogm,
harvest_08d-01,08d-01,Harvest record for Donald W. Hamer Center for Maps and Geospatial Information Digital Map Drawer of Penn State Rare Maps,Harvest record - temporary,Series,draft,CONTENTdm,,,,2021-04-27,Mediated deposit,Annual,template_csv,Public,true,08d-01,ogm,
harvest_08d-02,08d-02,"Harvest record for Sanborn Maps: Pennsylvania, 1884-1938",Harvest record - temporary,Series,draft,CONTENTdm,,,,2021-04-27,Mediated deposit,Annual,template_csv,Public,true,08d-02,ogm,
harvest_08d-03,08d-03,Harvest record for Bituminous coal mine maps of Pennsylvania,Harvest record - temporary,Series,draft,CONTENTdm,,,,2023-09-01,Mediated deposit,Annual,template_csv,Public,true,08d-03,ogm,
harvest_09d-01,09d-01,Harvest record for Wabash River Historical Maps and Imagery,Harvest record - temporary,Series,draft,ArcGIS Web Application,,,,2021-05-07,Manual curation,Annual,template_children,Public,true,09d-01,,
harvest_09d-02,09d-02,"Harvest record for Purdue Campus Maps: West Lafayette, Indiana, 1890-2014",Harvest record - temporary,Series,draft,Custom HTML/JS,,,,2021-05-07,Manual curation,Annual,template_children,Public,true,09d-02,,
harvest_10d-03,10d-03,Harvest record for GeoData@Wisconsin,Harvest record - temporary,Series,draft,GeoBlacklight,https://github.com/opengeometadata/edu.wisc,GitHub,,2025-10-31,Mediated deposit,Annual,py_ogmwisc,Public,true,10d-03,,
harvest_11d-02,11d-02,Harvest record for Geology Library and Map Room: The Ohio State University,Harvest record - temporary,Series,draft,Blacklight,,,,2022-06-10,Mediated deposit,Annual,template_csv,Public,true,11d-02,ogm,
harvest_12d-01,12d-01,Harvest record for Social Scientists Map Chicago Collection,Harvest record - temporary,Series,draft,Django,,,,2021-04-27,Mediated deposit,Annual,template_csv,Public,true,12d-01,ogm,
harvest_12d-02,12d-02,Harvest record for Early Modern Maps of the Americas,Harvest record - temporary,Series,draft,Django,,,,2021-04-27,Mediated deposit,Annual,template_csv,Public,true,12d-02,ogm,
harvest_12d-04,12d-04,"Harvest record for Center for Ancient Middle Eastern Landscapes, Institute for the Study of Ancient Cultures, University of Chicago",Harvest record - temporary,Series,draft,PHP,https://github.com/uchicago-its-web-services/camel-btaa,GitHub,,2024-01-01,Mediated deposit,Annual,template_csv,Public,true,12d-04,,
harvest_13d-01,13d-01,Harvest record for DigitalCommons@University of Nebraska-Lincoln,Harvest record - temporary,Series,draft,HTML/JS,oai:digitalcommons.unl.edu,OAI-PMH,,2025-09-19,Manual curation,Annual,template_children,Public,true,13d-01,ogm,
harvest_13d-02,13d-02,Harvest record for Image and Multimedia Collections at the University of Nebraska-Lincoln,Harvest record - temporary,Series,draft,HTML/JS,,,,2021-05-25,Manual curation,Annual,template_children,Public,true,13d-02,ogm,
harvest_14d-01,14d-01,Harvest record for Maps of New Jersey,Harvest record - temporary,Series,draft,Drupal,https://rucore.libraries.rutgers.edu/api/dpla-oai-pmh/?settype=portal&set=2Pp7Cy4Bs,OAI-PMH,,2022-08-17,Automated retrieval,Annual,py_oaipmh,Public,true,14d-01,ogm,
harvest_15d-01,15d-01,Harvest record for Northwestern University Digital Collections,Harvest record - temporary,Series,draft,NextJS,https://api.dc.library.northwestern.edu/api/v2/oai,OAI-PMH,,2024-02-28,Automated retrieval,Annual,py_oaipmh,Public,true,15d-01,ogm,
harvest_20d-0001,20d-0001,Harvest record for Harvard Geospatial Library,Harvest record - temporary,Series,draft,GeoBlacklight,https://github.com/OpenGeoMetadata/edu.harvard,,,2025-08-23,Automated retrieval,Annual,py_ogm_aardvark,Public,true,20d-0001,,
harvest_20d-0002,20d-0002,Harvest record for Princeton University Libraries Digital Maps & Geospatial Data,Harvest record - temporary,Series,draft,GeoBlacklight,https://github.com/OpenGeoMetadata/edu.princeton,GeoBlacklight,,2025-08-23,Automated retrieval,Annual,py_ogm_gbl1,Public,true,20d-0002,,
harvest_20d-0004,20d-0004,Harvest record for Geospatial Information Repository (CUGIR),Harvest record - temporary,Series,draft,GeoBlacklight,https://github.com/OpenGeoMetadata/edu.cornell,,,2025-08-23,Automated retrieval,Annual,py_ogm_aardvark,Public,true,20d-0004,,
harvest_77d-0004,77d-0004,Harvest record for The Newberry Library Digital Collections,Harvest record - temporary,Series,draft,,,,,2025-09-20,Manual curation,Annual,template_children,Public,true,77d-0004,,
harvest_999-0001,999-0001,Harvest record for Social Explorer,Harvest record - temporary,Series,draft,,,,,2021-04-27,Manual curation,Annual,template_children,Public,true,999-0001,,
