set,title,match_terms,already_listed
node:397041,"An Atlas of Buchanan County, 1923",atlas,no
node:646455,"An Illustrated Historical Atlas of Des Moines County, Iowa, 1873",atlas,no
node:31104,"An Illustrated Historical Atlas of Lee County, Iowa, 1874",atlas,no
node:152913,"An Illustrated Historical Atlas of Louisa County, Iowa, 1874",atlas,no
node:44986,"Atlas and Directory of Rural Taxpayers of Linn County, Iowa, 1914",atlas,no
node:233715,"Atlas and Farm Directory of Clayton County, Iowa, 1914",atlas,no
node:55304,"Atlas and Farm Directory with Complete Survey in Township Plats of Plymouth County, Iowa, 1914",atlas,no
node:734732,"Atlas and Plat Book of Adair County, Iowa, 1917",atlas; plat book,no
node:36266,"Atlas and Plat Book of Calhoun County, Iowa, 1920",atlas; plat book,no
node:12377,"Atlas and Plat Book of Dallas County, Iowa, 1930",atlas; plat book,no
node:414969,"Atlas and Plat Book of Jackson County, Iowa, 1913",atlas; plat book,no
node:191045,"Atlas and Plat Book of Jasper County, Iowa, 1914",atlas; plat book,no
node:471586,"Atlas and plat book of Mahaska County, Iowa, 1920",atlas; plat book,no
node:30016,"Atlas and Plat Book of Marion County, Iowa, 1917",atlas; plat book,no
node:83583,"Atlas and plat book of Poweshiek County, Iowa, 1914",atlas; plat book,no
node:250481,"Atlas and Plat Book of Ringgold County, Iowa, 1915",atlas; plat book,no
node:38394,"Atlas and Plat Book of Story County, Iowa, 1926",atlas; plat book,no
node:71806,"Atlas and Rural Directory of Marion County, Iowa, 1937",atlas,no
node:326637,"Atlas and Township Plats of O'Brien County, Iowa, 1934",atlas,no
node:16531,"Atlas Map of Bremer County, Iowa, 1875",atlas,no
node:199617,"Atlas of Appanoose County, Iowa, 1915",atlas,no
node:140832,"Atlas of Benton County, Iowa, 1872",atlas,no
node:9713,"Atlas of Benton County, Iowa, 1917",atlas,no
node:17461,"Atlas of Black Hawk County, Iowa, 1910",atlas,no
node:90817,"Atlas of Black Hawk County, Iowa, and The World, 1926",atlas,no
node:480839,"Atlas of Buchanan County, Iowa, 1910",atlas,no
node:90553,"Atlas of Buena Vista County, Iowa, 1923",atlas,no
node:84921,"Atlas of Butler County, Iowa, 1917",atlas,no
node:156493,"Atlas of Carroll County, Iowa, 1906",atlas,no
node:227058,"Atlas of Carroll County, Iowa, 1923",atlas,no
node:227057,"Atlas of Carroll County, Iowa, 1923 4 World Atlas",atlas,no
node:166676,"Atlas of Cass County, Iowa, 1917",atlas,no
node:368096,"Atlas of Cedar County, Iowa, 1872",atlas,no
node:154421,"Atlas of Cedar County, Iowa, 1901",atlas,no
node:56579,"Atlas of Cedar County, Iowa, 1916",atlas,no
node:232048,"Atlas of Cerro Gordo County, Iowa, 1912",atlas,no
node:42602,"Atlas of Chickasaw County, Iowa, 1915",atlas,no
node:87246,"Atlas of Clarke County, Iowa, 1902",atlas,no
node:6591,"Atlas of Clarke County, Iowa, 1909",atlas,no
node:446449,"Atlas of Clarke County, Iowa, 1915",atlas,no
node:109859,"Atlas of Clay County, Iowa, 1919",atlas,no
node:146409,"Atlas of Clinton County, Iowa, 1874",atlas,no
node:246700,"Atlas of Clinton County, Iowa, 1925",atlas,no
node:117616,"Atlas of Crawford County, Iowa, 1920",atlas,no
node:424278,"Atlas of Dallas County, Iowa, 1916",atlas,no
node:146087,"Atlas of Davis County, Iowa, 1931",atlas,no
node:102756,"Atlas of Fremont County, Iowa, 1920",atlas,no
node:177997,"Atlas of Greene County, Iowa, 1909",atlas,no
node:264856,"Atlas of Greene County, Iowa, 1918",atlas,no
node:518783,"Atlas of Greene County, Iowa, 1921",atlas,no
node:352470,"Atlas of Hancock County, Iowa, 1914",atlas,no
node:48459,"Atlas of Hardin County, Iowa, 1918",atlas,no
node:86306,"Atlas of Hardin County, Iowa, 1918",atlas,no
node:198043,"Atlas of Harrison County, Iowa, 1922",atlas,no
node:287122,"Atlas of Henry County, Iowa, 1895",atlas,no
node:271790,"Atlas of Henry County, Iowa, 1931",atlas,no
node:191384,"Atlas of Howard County, Iowa, 1915",atlas,no
node:371347,"Atlas of Humboldt County, Iowa, 1915",atlas,no
node:46167,"Atlas of Ida County, Iowa, 1906",atlas,no
node:73519,"Atlas of Ida County, Iowa, 1920",atlas,no
node:246982,"Atlas of Iowa County, Iowa, 1900",atlas,no
node:180976,"Atlas of Johnson County, Iowa, 1900",atlas,no
node:318285,"Atlas of Johnson County, Iowa, 1917",atlas,no
node:527640,"Atlas of Johnson County, Iowa, 1934",atlas,no
node:78263,"Atlas of Keokuk County, Iowa, 1874",atlas,no
node:66805,"Atlas of Keokuk County, Iowa, 1895",atlas,no
node:419245,"Atlas of Keokuk County, Iowa, 1912",atlas,no
node:418767,"Atlas of Kossuth County, Iowa, 1913",atlas,no
node:425863,"Atlas of Linn County, Iowa, 1895",atlas,no
node:115741,"Atlas of Linn County, Iowa, 1921",atlas,no
node:87620,"Atlas of Louisa County, Iowa, 1917",atlas,no
node:337302,"Atlas of Lucas County, Iowa, 1912",atlas,no
node:162565,"Atlas of Madison County, Iowa, 1905",atlas,no
node:248202,"Atlas of Madison County, Iowa, 1908",atlas,no
node:115346,"Atlas of Mahaska County, Iowa, 1905",atlas,no
node:302462,"Atlas of Marion County, Iowa, 1901",atlas,no
node:285237,"Atlas of Marshall County, Iowa, 1871",atlas,no
node:339023,"Atlas of Mills County, Iowa, 1921",atlas,no
node:44322,"Atlas of Monona County, Iowa, 1919",atlas,no
node:303212,"Atlas of Montgomery County, Iowa, 1919",atlas,no
node:6169,"Atlas of Muscatine County, Iowa, 1874",atlas,no
node:22215,"Atlas of Muscatine County, Iowa, 1884",atlas,no
node:255794,"Atlas of Muscatine County, Iowa, 1916",atlas,no
node:89139,"Atlas of Osceola County, Iowa, between 1935 and 1941",atlas,no
node:52409,"Atlas of Page County, Iowa, 1920",atlas,no
node:76842,"Atlas of Pocahontas County, Iowa, 1918",atlas,no
node:83360,"Atlas of Polk County, Iowa, 1902",atlas,no
node:378574,"Atlas of Pottawattamie County, Iowa, 1900",atlas,no
node:208782,"Atlas of Pottawattamie County, Iowa, 1919",atlas,no
node:212899,"Atlas of Poweshiek County, Iowa, 1896",atlas,no
node:91121,"Atlas of Poweshiek County, Iowa, 1921",atlas,no
node:9847,"Atlas of Poweshiek County, Iowa, 1928",atlas,no
node:1615,"Atlas of Sac County, Iowa, 1908",atlas,no
node:132543,"Atlas of Sac County, Iowa, 1912",atlas,no
node:308761,"Atlas of Scott County, Iowa, 1894",atlas,no
node:41993,"Atlas of Scott County, Iowa, 1894 4 Supplemental pages",atlas,no
node:56203,"Atlas of Scott County, Iowa, 1905",atlas,no
node:294012,"Atlas of Shelby County, Iowa, 1921",atlas,no
node:27970,"Atlas of Sioux County, Iowa, 1913",atlas,no
node:241819,"Atlas of Sioux County, Iowa, 1923",atlas,no
node:203338,"Atlas of Sioux County, Iowa, circa 1928",atlas,no
node:60752,"Atlas of Story County, Iowa, 1902",atlas,no
