old_name,new_name
Address_Point,blt_address_2026
bridge,blt_bridges_2026
bus_route,blt_busRoutes_2026
Bus_stops,blt_busStops_2022
Council_District,blt_councilDistricts_2023
Baltimore_Gateways,blt_gateways_2026
lightrail,blt_lightrail_2026
lightrail_station,blt_lightrailStations_2026
MARC_Train,blt_marcTrain_2026
City_Line,blt_boundary_2026
Neighborhood_NSA,blt_neighborhoods_2026
Real_Property,blt_parcels_2026
Primary_SnowZones,blt_snowZonesPrimary_2026
Secondary_Snowzones,blt_snowZonesSecondary_2026
Street_Centerline,blt_streets_2026
subway,blt_subway_2026
subway_station,blt_subwayStations_2026
Transportation_Sectors,blt_transportationSectors_2026
zipcar_location,blt_zipcarLocation_2026
Zoning,blt_zoning_2026
