ID,Creator,Creator ID,Resource Type,Temporal Coverage,Date Issued,Date Range,Spatial Coverage,Bounding Box,GeoNames,Date Accessioned,Tags
d6684a2a-f3e1-4492-8b5d-b399bf4f6553,,,Pictorial maps,between 1930 and 1939,n.d.,1930-1939,United States,"-124.98,22.61,-67.18,49.31",http://sws.geonames.org/6252001,2021-04-16,sprint-2021-05|202212bbox|sprint-2021-05
f9eb8493-32ab-4ede-8330-9286846eee0d,"Maury, Matthew Fontaine, 1806-1873|Morris, Charles, 1784-1856|W. Endicott & Co.|Wyman, R. H. (Robert Harris), 1822-1882",fst00127498|fst00240427|fst00519942|null,Thematic maps|World maps,approximately 1853,1853,1853-1853,World,"-179.99,-89.99,179.99,89.99",,2019-01-16,sprint-mar2020|2022-creator-sprint|-180TO180|sprint-2021-05
c5b43fd8-0030-4089-80df-b692e6bda8b2,,,Pictorial maps|Thematic maps,1937,1937,1937-1937,Washington--Grand Coulee|Washington,"-119.020,47.931,-118.985,47.951",http://sws.geonames.org/5795924,2021-04-16,sprint-2021-05|202212bbox|sprint-2021-05
9eccb622-8fe3-4f94-9a5c-e166585eb597,Oregon Railway and Navigation Company,fst00627488,,1898,,1898-1898,Oregon--Pacific Northwest,"-125.000,42.000,-116.000,49.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
9139578d-7803-4f4f-9ed3-a62ab810a256,,,Pictorial maps|Thematic maps,1932,1932,1932-1932,United States,"-124.98,22.61,-67.18,49.31",http://sws.geonames.org/6252001,2021-04-16,sprint-2021-05|202212bbox|sprint-2021-05
63e55ff3-b143-44a8-8847-5ceaddcd7adb,,,Thematic maps|Pictorial maps,between 1940 and 1949,n.d.,1940-1949,Michigan--Michigan|Michigan,"-90.418,41.696,-82.413,48.239",http://sws.geonames.org/5001836,2021-04-16,sprint-2021-05|202212bbox|sprint-2021-05
c1c76490-111a-4aa4-a130-7487c757ed2b,"Cook, James, 1728-1779|Robert Sayer and John Bennett (Firm)",fst00028644|fst00543212,,,1775,1775-1775,Canada--Newfoundland and Labrador,"-61.020,46.400,-51.000,52.870",http://sws.geonames.org/6354959,2021-04-16,2022-creator-sprint|sprint-2021-05
da3c4dcc-8ec7-49d6-a435-4ddb83f8a34c,"Hondius, Hendrik, 1597-1651|Hondius, Hendrik, 1597-1651. Appendix Atlas of the British Isles and Northern Europe|Jansson, Jan, 1588-1664. Appendix Atlas of the British Isles and Northern Europe|Vignaud, Henry, 1830-1922, former owner.",fst00101029|null|null|null,Early maps,1632,1632,1632-1632,United Kingdom--England,"-0.37,52.19,0.71,52.99",,2019-01-16,2022-creator-sprint|sprint-2021-05
b15e1bd8-fc18-4d23-912e-f7328a08994b,"Brown, Amos P. (Amos Peaslee), 1864-1917|Elverson, J. S.|Lyman, Benjamin Smith, 1835-1920",fst00195561|null|fst00014808,Mine maps,1889,,1889-1889,Pennsylvania--Schuylkill County|Pennsylvania,"-76.67,40.5,-75.75,40.92",,2019-01-16,2022-creator-sprint|sprint-2021-05
dd1a85e0-dcf6-48f1-bbfb-63dc2f3c244f,I.T. Hinton & Simpkin & Marshall.,,,,1832,1832-1832,United States,"-135.120,25.000,-53.380,54.520",http://sws.geonames.org/6252001,2021-04-16,2022-creator-sprint|sprint-2021-05
57c48ea0-0186-4220-b905-98d9cc772668,Reserve Lithographing & Printing Company.,null,,,1934,1934-1934,United States,"-126.13,24.18,-66.45,49.2",http://sws.geonames.org/6252001,2021-04-16,2022-creator-sprint|sprint-2021-05
a8cdf192-692e-4913-b21b-ab9ba4cd0e16,"Collins, Jim, 1947-",fst01433947,Pictorial maps|Thematic maps,1957,1957,1957-1957,United States,"-124.98,22.61,-67.18,49.31",http://sws.geonames.org/6252001,2021-04-16,sprint-2021-05|2022-creator-sprint|202212bbox|sprint-2021-05
5d9fa8c4-175b-46fe-b452-0dfcc3927609,,,Pictorial maps,approximately 1957,1957,1957-1957,United States,"-124.98,22.61,-67.18,49.31",http://sws.geonames.org/6252001,2021-04-16,sprint-2021-05|202212bbox|sprint-2021-05
06c77fc7-1ee2-4f99-9fd6-b081524ad1b7,"Dahl, James, former owner|Moll, Herman, -1732",null|fst01835508,,1716,,1716-1716,Americas,"-126.37,-58.1,-21.93,71.38",,2019-01-16,2022-creator-sprint|sprint-2021-05
59b42ba8-fc67-4782-aae9-5c0dfec20036,"Mackenzie, Alexander, 1764-1820",fst01719440,,1801,,1801-1801,North America,"-170.000,35.000,-35.000,70.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
92200365-e1d1-4db5-9e0e-0b99bf75e34b,[creator not identified],,,between 1840 and 1849,unknown,1840-1849,Michigan--Washtenaw County|Michigan,"-83.805,42.235,-83.670,42.329",,2019-01-16,bbox-verified_2023-02-27|sprint-mar2020|2022-creator-sprint|bboxSprintJune2023|sprint-2021-05
e9dd7d6a-f2bd-4587-83b1-315be1770972,"Dunn, Samuel, -1794",fst02013804,,1786,,1786-1786,Eastern Asia,"103.700,29.970,144.980,55.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
ab59bb12-e411-427c-97b6-fa59cee6a37d,"Rapin de Thoyras, M. (Paul), 1661-1725|Seale, Richard William|Tindal, N. (Nicholas), 1687-1774",fst00165978|fst00001447|fst01800082,,1744,,1744-1744,North America,"-129.38,0.5,-41.35,66.83",,2019-01-16,2022-creator-sprint|sprint-2021-05
8f50e0f3-65b6-4e5e-8747-90aab925acf7,"Dahl, James, former owner|Lodge, John, -1796",null|null,,1755?,,1755-1755,Northern America,"-96.88,28.85,-51.68,52.57",,2019-01-16,2022-creator-sprint|sprint-2021-05
61f82b88-2f3a-4ea4-8fbc-373819aac641,,,,,1771,1771-1771,New England,"-74.2,40.4,-69.42,44.02",http://sws.geonames.org/8502102,2021-04-16,sprint-2021-05
13fb48c0-8398-43d3-9a72-ae33761ffbb6,"Wyld, James, 1812-1887",fst00111315,,1838,,1838-1838,Canada,"-86.37,41.42,-71.03,49.12",,2019-01-16,2022-creator-sprint|sprint-2021-05
102d7160-4c2f-4796-be6b-bdf8d27aedcc,"Arrowsmith, Aaron, 1750-1823|Dahl, James, former owner|Smith, C., mapseller",fst00182405|null|null,,"Jan 1st, 1796, additions in 1802",,1796-1796,United States of America,"-92.3,29.78,-66.2,48.95",,2019-01-16,2022-creator-sprint|sprint-2021-05
0a9c2d87-b56a-4744-bf45-5352b6522fe5,"Anville, Jean Baptiste Bourguignon d', 1697-1782|Sayer, Robert, 1725-1794",fst00061563|fst00055649,,1772,,1772-1772,North America,"-150.57,-57.27,8.48,78.87",,2019-01-16,2022-creator-sprint|sprint-2021-05
d5b6d0c1-571d-4305-a3fc-4f3d3a9ab3cf,"Lapham, Increase Allen, 1811-1875",fst00012851,,1865,,1865-1865,Wisconsin,"-93.000,42.000,-86.000,47.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
20b0224f-1a55-437b-96e1-3a007d17b73c,,,,1834,1834,1834-1834,Michigan,"-90.418,41.696,-82.413,48.239",,2021-04-16,sprint-2021-05|202212bbox|sprint-2021-05
177ad2bd-a5ea-43ab-8d36-f12ada86bd4b,"Moll, Herman, -1732",fst01835508,World maps,1709,,1709-1709,World,"-179.99,-89.99,179.99,89.99",,2019-01-16,2022-creator-sprint|-180TO180|sprint-2021-05
0c732b57-2b0b-4807-bad3-40855fe9e8d3,"Bowles, John, 1701-1779|Bowles, Thomas, -1767|Moll, Herman, -1732",fst00017692|null|fst01835508,Early maps,approximately 1731,1731,1731-1731,North America,"-85.000,29.000,-54.000,56.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
0529a84b-cbf6-4731-9afc-41d1e828ca17,"Hondius, Hendrik, 1597-1651|Hondius, Hendrik, 1597-1651. Appendix Atlas of the British Isles and Northern Europe|Jansson, Jan, 1588-1664. Appendix Atlas of the British Isles and Northern Europe|Pont, Timothy, 1560?-1614?|Vignaud, Henry, 1830-1922, former owner.",fst00101029|null|null|fst00006987|null,,between 1630 and 1639,,1630-1639,Scotland-- United Kingdom--Lothian,"-3.69,55.76,-2.5,56.07",,2019-01-16,2022-creator-sprint|sprint-2021-05
942c53a3-4daa-43eb-a36a-3617d5d872a3,"Lapham, Increase Allen, 1811-1875",fst00012851,Geological maps,1869,1869,1869-1869,Wisconsin,"-93.000,43.000,-87.000,47.000",,2019-01-16,sprint-mar2020|2022-creator-sprint|sprint-2021-05
69e3d99c-e8ed-490e-bbd4-768e4ee1f90b,,,Thematic maps|Tourist maps,between 1846 and 1849,1849,1846-1849,United States,"-124.98,22.61,-67.18,49.31",http://sws.geonames.org/6252001,2021-04-16,sprint-2021-05|202212bbox|sprint-2021-05
3ffb1f2e-d617-4361-bc2b-49d9ad270cad,"Dahl, James, former owner|Senex, John, -1740|Senex, John, -1740.""Harris, John, fl. ca.1685-ca. 1720 engraver.",null|null|null,Early maps,Approximately 1719,n.d.,1719-1719,Americas,"-169.3,-57.5,-34.8,72.7",,,sprint-2021-05|2022-creator-sprint|202212bbox|sprint-2021-05
3d305177-0642-4d96-ad17-5afa43c0051e,"Anville, Jean Baptiste Bourguignon d', 1697-1782",fst00061563,,1794,,1794-1794,Arabian Peninsula,"27.6,10.2,61.35,32.73",,2019-01-16,2022-creator-sprint|sprint-2021-05
4bcf807d-06e2-4ad5-bfd9-6248c0b50628,"Bumpus, John.",fst02013758,,1830,,1830-1830,England--London|England,"-0.18,51.48,0.01,51.54",http://sws.geonames.org/2643743,2019-01-16,2022-creator-sprint|sprint-2021-05
3c6782ff-3209-482f-8eec-e611d25edc75,"Brose, W. engraver|Dahl, James, former owner|Tanner, Henry Schenck, 1786-1858",null|null|fst01432799,,1839,,1839-1839,Louisiana,"-94.05,28.92,-88.82,33.02",,2019-01-16,2022-creator-sprint|sprint-2021-05
b203a749-3328-4519-900a-7a54c6750057,"Mitchell, S. Augustus (Samuel Augustus), 1792-1868",fst00012500,,1847,1847,1847-1847,Michigan,"-91.000,41.000,-82.000,48.000",,2019-01-16,sprint-mar2020|2022-creator-sprint|sprint-2021-05
44bafcf9-806c-4c19-bb89-df615c397ccb,"Burroughs, H. N.|Mitchell, S. Augustus (Samuel Augustus), 1792-1868",fst00231696|fst00012500,,1846,,1846-1846,Michigan,"-91.000,41.000,-82.000,48.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
