Title,Creator,Publisher,Subject,Spatial Coverage,Bounding Box,Member Of,ID,Identifier,Code
Allegheny County GIS Open Data,,Pennsylvania--Allegheny County,County government records,Pennsylvania--Allegheny County|Pennsylvania,"-80.361,40.194,-79.689,40.675",ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42003,https://openac-alcogis.opendata.arcgis.com,08b-42003
Anne Arundel County GIS Data,,Maryland--Anne Arundel County,County government records,Maryland--Anne Arundel County|Maryland,"-76.840,38.713,-76.394,39.237",ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24003,https://maps.aacounty.org,04b-24003
"Ashland County, WI GIS Open Data Portal",,Wisconsin--Ashland County,County government records,Wisconsin--Ashland County|Wisconsin,"-90.928,45.980,-89.957,47.310",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55003,https://data-ashlandcountywi.opendata.arcgis.com,10b-55003
Athens County GIS Data,,Ohio--Athens County,County government records,Ohio--Athens County|Ohio,"-82.298,39.181,-81.722,39.557",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39009,https://data-athgis.opendata.arcgis.com,11b-39009
Baltimore County Open Data Portal,,Maryland--Baltimore County,County government records,Maryland--Baltimore County|Maryland,"-76.896,39.195,-76.333,39.721",ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24005,https://opendata.baltimorecountymd.gov,04b-24005
Beltrami County Open GIS Data,,Minnesota--Beltrami County,County government records,Minnesota--Beltrami County|Minnesota,"-95.603,47.410,-94.414,48.540",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27007,https://bemidji-beltramicounty.opendata.arcgis.com/,05b-27007
Bend Open Data,,Oregon--Bend,Municipal government records,Oregon--Bend|Oregon,"-122.000,43.610,-119.900,44.390",ba5cc745-21c5-4ae9-954b-72dd8db6815a,17c-04,https://data.bendoregon.gov,17c-04
Benton County Open Data,,Washington (State)--Benton County,County government records,Washington (State)--Benton County|Washington (State),"-119.880,45.840,-118.940,46.730",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-55005,https://gisdata-bentonco.hub.arcgis.com,16b-55005
Big Stone County Open Data,,Minnesota--Big Stone County,County government records,Minnesota--Big Stone County|Minnesota,"-96.835,45.177,-96.104,45.586",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27011,https://data-bigstonecounty.opendata.arcgis.com,05b-27011
"CAGIS Open Data Hub for Cincinnati Area, Ohio",,Ohio--Cincinnati,Municipal government records,Ohio--Cincinnati|Ohio,"-84.820,39.022,-84.257,39.312",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11c-01-3,https://data-cagisportal.opendata.arcgis.com/,11c-01-01
Calumet County GIS Download,,Wisconsin--Calumet County,County government records,Wisconsin--Calumet County|Wisconsin,"-88.405,43.892,-88.042,44.244",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55015,https://gis-calumet.hub.arcgis.com,10b-55015
Calvert County Open GIS Data Portal,,Maryland--Calvert County,County government records,Maryland--Calvert County|Maryland,"-76.702,38.322,-76.382,38.769",ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24009,https://calvert-county-open-data-calvertgis.hub.arcgis.com,04b-24009
Capital Area Open Data Portal,The Capital Area Regional Planning Commission,Wisconsin--Dane County,Intergovernment records,Wisconsin--Dane County|Wisconsin,"-89.567,42.998,-89.246,43.172",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55025-01,https://data-carpc.opendata.arcgis.com,10b-55025
Carlton County Open Data,,Minnesota--Carlton County,County government records,Minnesota--Carlton County|Minnesota,"-93.065,46.417,-92.292,46.769",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27017,https://data-carltoncounty.opendata.arcgis.com,05b-27017
Carroll County GIS Open Data,,Maryland--Carroll County,County government records,Maryland--Carroll County|Maryland,"-77.312,39.348,-76.787,39.721",ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24013,https://data-carrollco-md.opendata.arcgis.com,04b-24013
Carver County GIS Data,,Minnesota--Carver County,County government records,Minnesota--Carver County|Minnesota,"-94.013,44.635,-93.520,44.979",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27019,http://data-carver.opendata.arcgis.com,05b-27019
Center for Rural Pennsylvania Data Hub,Center for Rural Pennsylvania,Pennsylvania,Intergovernment records,Pennsylvania,"-80.521,39.720,-74.690,42.515",ba5cc745-21c5-4ae9-954b-72dd8db6815a,8856ec9a-47ac-4c79-bfba-643e97c0b62d,https://center-for-rural-pennsylvania-data-hub-ruralpa.hub.arcgis.com,8856ec9a-47ac-4c79-bfba-643e97c0b62d
Centre County Open Data,,Pennsylvania--Centre County,County government records,Pennsylvania--Centre County|Pennsylvania,"-78.377,40.692,-77.144,41.253",ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42027,http://gisdata-centrecountygov.opendata.arcgis.com,08b-42027
Chester County GIS Data,,Pennsylvania--Chester County,County government records,Pennsylvania--Chester County|Pennsylvania,"-76.137,39.721,-75.361,40.245",ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42029,https://chester-county-s-gis-hub-chesco.hub.arcgis.com,08b-42029
Chippewa County Open GIS Data,,Minnesota--Chippewa County,County government records,Minnesota--Chippewa County|Minnesota,"-96.037,44.751,-95.246,45.153",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27023,https://data-chippewa.opendata.arcgis.com,05b-27023
City of Bellevue Open Data,,Washington (State)--Bellevue,Municipal government records,Washington (State)--Bellevue|Washington (State),"-122.220,47.570,-122.100,47.650",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16c-04,https://data.bellevuewa.gov,16c-04
City of Champaign GIS,,Illinois--Champaign-Urbana,Municipal government records,Illinois--Champaign-Urbana|Illinois,"-88.320,40.050,-88.150,40.160",ba5cc745-21c5-4ae9-954b-72dd8db6815a,02c-02,https://gis-cityofchampaign.opendata.arcgis.com,02c-02
City of Cleveland Open Data,,Ohio--Cleveland,Municipal government records,Ohio--Cleveland|Ohio,"-81.790,41.420,-81.570,41.550",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11c-03,https://data.clevelandohio.gov,11c-03
City of Corvallis GIS Data,,Oregon--Corvallis,Municipal government records,Oregon-Corvallis|Oregon,"-123.315,44.530,-123.205,44.620",ba5cc745-21c5-4ae9-954b-72dd8db6815a,17c-05,https://gis-corvallisoregon.opendata.arcgis.com/,17c-05
City of Duluth GeoHub,,Minnesota--Duluth,Municipal government records,Minnesota--Duluth|Minnesota,"-92.240,46.710,-92.030,46.830",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-03,https://geohub-duluthmn.hub.arcgis.com,05c-03
City of Eugene Mapping Hub,,Oregon--Eugene,Municipal government records,Oregon--Eugene|Oregon,"-124.230,43.440,-121.770,44.290",ba5cc745-21c5-4ae9-954b-72dd8db6815a,17c-02,https://mapping.eugene-or.gov,17c-02
City of Grand Island Public GIS Data Portal,,Nebraska--Grand Island,Municipal government records,Nebraska--Grand Island|Nebraska,"-98.431,40.855,-98.288,40.989",ba5cc745-21c5-4ae9-954b-72dd8db6815a,13c-02,https://data-cityofgi.opendata.arcgis.com,13c-02
"City of Madison, WI GIS Open Data Portal",,Wisconsin--Madison,Municipal government records,Wisconsin--Madison|Wisconsin,"-89.567,42.998,-89.246,43.172",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10c-03,https://data-cityofmadison.opendata.arcgis.com,10c-03
City of Newark GIN,,New Jersey--Newark,Municipal government records,New Jersey--Newark|New Jersey,"-74.230,40.670,-74.120,40.770",ba5cc745-21c5-4ae9-954b-72dd8db6815a,14c-01,https://data-newgin.opendata.arcgis.com,14c-01
City of Saint Paul GIS Data,,Minnesota--Saint Paul,Municipal government records,Minnesota--Saint Paul|Minnesota,"-93.208,44.887,-93.004,44.992",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-02,https://information.stpaul.gov,05c-02
City of Vancouver Open Data Hub,,Washington (State)--Vancouver,Municipal government records,Washington (State)--Vancouver|Washington (State),"-122.750,45.570,-122.450,45.750",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16c-05,https://city-of-vancouver-wa-geo-hub-cityofvancouver.hub.arcgis.com,16c-05
