Township,Township Direction,Range,Range Direction,STATEABBR,PRINMERCD,PRINMER,PLSSID,Bounding Box
000,0,000,0,OH,47,East of the First Meridian Survey,OH4700000000000,"-84.22209821, 40.08413594, -84.2204885, 40.08580989"
000,0,000,0,OH,19,Michigan Meridian,OH1900000000000,"-83.11092721, 41.73669539, -83.1016158, 41.74275093"
000,0,000,0,OH,38,Ohio River Base,OH3800000000000,"-80.59945182, 40.46132007, -80.59787874, 40.46446193"
001,E,002,N,OH,36,Between the Miami Rivers,OH360010E0020NB,"-84.66314218, 39.29327486, -84.55669698, 39.38333145"
001,E,002,N,OH,36,Between the Miami Rivers,OH360010E0020NA,"-84.80659985, 39.12427962, -84.68204071, 39.21218238"
001,E,001,N,OH,36,Between the Miami Rivers,OH360010E0010NA,"-84.82005923, 39.1074942, -84.80316005, 39.13018912"
001,S,002,W,IL,4,4th Meridian,IL040010S0020W0,"-90.68282088, 39.92641172, -90.56767429, 40.01580025"
001,S,004,E,IL,3,3rd Meridian,IL030010S0040E0,"-88.81162707, 38.38689568, -88.69894219, 38.4757369"
001,N,006,W,IL,4,4th Meridian,IL040010N0060W0,"-91.14776459, 40.01883155, -91.02893668, 40.10765571"
001,N,008,W,IL,3,3rd Meridian,IL030010N0080W0,"-90.0359865, 38.4829134, -89.92805983, 38.57153199"
001,S,008,W,IL,3,3rd Meridian,IL030010S0080W0,"-90.03623999, 38.39521051, -89.92695077, 38.48367575"
001,S,003,E,IL,3,3rd Meridian,IL030010S0030E0,"-88.92402295, 38.38788981, -88.81057519, 38.47697645"
001,S,005,E,IL,3,3rd Meridian,IL030010S0050E0,"-88.6997262, 38.38689828, -88.58563966, 38.4763773"
001,N,005,W,IL,4,4th Meridian,IL040010N0050W0,"-91.03097938, 40.0180088, -90.91335647, 40.10663104"
001,N,010,W,IL,3,3rd Meridian,IL030010N0100W0,"-90.25820105, 38.48494945, -90.14514309, 38.57302999"
001,N,011,W,IL,2,2nd Meridian,IL020010N0110W0,"-87.68572, 38.49199587, -87.6451616, 38.5536342"
001,N,001,W,IL,4,4th Meridian,IL040010N0010W0,"-90.56770447, 40.01383005, -90.45299997, 40.10210614"
001,S,005,W,IL,4,4th Meridian,IL040010S0050W0,"-91.03097108, 39.93003579, -90.91422698, 40.01883819"
001,S,009,E,IL,3,3rd Meridian,IL030010S0090E0,"-88.25917095, 38.38629658, -88.14773045, 38.46765118"
001,S,011,W,IL,3,3rd Meridian,IL030010S0110W0,"-90.32841618, 38.39835224, -90.25708536, 38.48565275"
001,N,007,E,IL,3,3rd Meridian,IL030010N0070E0,"-88.4711682, 38.47124976, -88.36508671, 38.56017926"
001,N,004,W,IL,4,4th Meridian,IL040010N0040W0,"-90.91466807, 40.0167591, -90.79621111, 40.10582993"
