Title,Creator,Publisher,Provider,Spatial Coverage,Bounding Box,Geometry,Centroid,Member Of,Is Part Of,ID,Identifier,Code
A vision of Britain through time,,"Great Britain Historical GIS Project , Dept. of Geography, University of Portsmouth",Stanford,Great Britain,"-14.000,49.667,2.083,61.050","POLYGON((-14.000 61.050, 2.083 61.050, 2.083 49.667, -14.000 49.667, -14.000 61.050))","55.3585,-5.9585",dc8c18df-7d64-4ff4-a754-d18d0891187d,,stanford-jw176xm4375,https://purl.stanford.edu/jw176xm4375,20d-0003
"Adams County, Illinois GIS",Illinois--Adams County,Illinois--Adams County,,Illinois--Adams County|Illinois,"-91.513,39.757,-90.912,40.200","POLYGON((-91.513 40.200, -90.912 40.200, -90.912 39.757, -91.513 39.757, -91.513 40.200))","39.9785,-91.2125",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,02b-17001,https://www.adamscountygis.com/,w00_01
Allegheny County GIS Open Data,,Pennsylvania--Allegheny County,,Pennsylvania--Allegheny County|Pennsylvania,"-80.361,40.194,-79.689,40.675","POLYGON((-80.361 40.675, -79.689 40.675, -79.689 40.194, -80.361 40.194, -80.361 40.675))","40.4345,-80.025",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,08b-42003,https://openac-alcogis.opendata.arcgis.com,08b-42003
Allen County GIS Data Download Page,,,,Ohio--Allen County|Ohio,"-84.397,40.643,-83.880,40.920","POLYGON((-84.397 40.920, -83.880 40.920, -83.880 40.643, -84.397 40.643, -84.397 40.920))","40.7815,-84.1385",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,11b-39003,https://gis.allencountyohio.com/GIS/downloads.Downloads page,w00_01
ALPAGE,, ALPAGE,Stanford,Paris (France),"2.224,48.816,2.470,48.902","POLYGON((2.224 48.902, 2.470 48.902, 2.470 48.816, 2.224 48.816, 2.224 48.902))","48.859,2.3470000000000004",dc8c18df-7d64-4ff4-a754-d18d0891187d,,stanford-zp399nk6394,https://purl.stanford.edu/zp399nk6394,20d-0003
American Panorama,"Nelson, Robert K.|LaDale Winling","Digital Scholarship Lab, University of Richmond",,United States,,"MULTIPOLYGON(((-178.44 28.52, -154.76 28.52, -154.76 18.86, -178.44 18.86, -178.44 28.52)),((-125.11 49.19, -66.66 49.19, -66.66 24.82, -125.11 24.82, -125.11 49.19)),((-179.3 51.1, -129.9 51.1, -129.9 71.5, -179.3 71.5, -179.3 51.1)))",,,,20d-0005,https://dsl.richmond.edu/panorama/,20d-0005
Ann Arbor Data Catalog,,,,Michigan--Ann Arbor|Michigan,"-83.800,42.223,-83.676,42.324","POLYGON((-83.800 42.324, -83.676 42.324, -83.676 42.223, -83.800 42.223, -83.800 42.324))","42.2735,-83.738",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,07c-02,https://www.a2gov.org/services/data-catalog/,07c-02
Anne Arundel County GIS Data,,Maryland--Anne Arundel County,,Maryland--Anne Arundel County|Maryland,"-76.840,38.713,-76.394,39.237","POLYGON((-76.840 39.237, -76.394 39.237, -76.394 38.713, -76.840 38.713, -76.840 39.237))","38.975,-76.617",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,04b-24003,https://maps.aacounty.org,04b-24003
Anoka County GIS Data Downloads,,,,Minnesota--Anoka County|Minnesota,"-93.513,45.035,-93.018,45.415","POLYGON((-93.513 45.415, -93.018 45.415, -93.018 45.035, -93.513 45.035, -93.513 45.415))","45.224999999999994,-93.2655",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05b-27003,https://www.anokacounty.us/1990/Data-Downloads,w00_01
Anti-Eviction Mapping Project,San Francisco Tenants Union,San Francisco Tenants Union,,United States,"-125.102,23.998,-66.134,50.102","POLYGON((-125.102 50.102, -66.134 50.102, -66.134 23.998, -125.102 23.998, -125.102 50.102))","37.05,-95.618",,,1da01b9b-4bfb-48fc-8444-ef61cab82bef,https://antievictionmap.com/,w00_01
