Title,Alternative Title,Creator,Publisher,Resource Class,Temporal Coverage,Date Issued,Date Accessioned,ID,Identifier,Code
Allegheny County Trails Locations [Pennsylvania--Allegheny County],Allegheny County Trails Locations,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-04-20,2019-01-14,2026-01-08,d182439a9a6344fca2c5bf717b9cace8_0,https://hub.arcgis.com/datasets/d182439a9a6344fca2c5bf717b9cace8_0,08b-42003
Allegheny County Schools [Pennsylvania--Allegheny County],Allegheny County Schools,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-03-27,2025-10-28,2026-01-08,04b055fdd50240268996c7876d7f6028_0,https://hub.arcgis.com/datasets/04b055fdd50240268996c7876d7f6028_0,08b-42003
Allegheny County Owned Bridge Centerlines [Pennsylvania--Allegheny County],Allegheny County Owned Bridge Centerlines,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-06-09,2026-02-24,2026-03-09,e4206eb98f1f4ab99027034bea718cda_0,https://hub.arcgis.com/datasets/e4206eb98f1f4ab99027034bea718cda_0,08b-42003
Allegheny County Zip Code Boundaries [Pennsylvania--Allegheny County],Allegheny County Zip Code Boundaries,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-01-08,2026-01-08,2026-01-08,1156b58c6703486d9a8f51b7ada93240_0,https://hub.arcgis.com/datasets/1156b58c6703486d9a8f51b7ada93240_0,08b-42003
Allegheny County Addressing Street Aliases [Pennsylvania--Allegheny County],Allegheny County Addressing Street Aliases,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2025-12-10,2017-08-09,2026-01-08,adcc6609485e498fb5a250b12d078e6b_2,https://hub.arcgis.com/datasets/adcc6609485e498fb5a250b12d078e6b_2,08b-42003
Allegheny County Addressing Landmarks [Pennsylvania--Allegheny County],Allegheny County Addressing Landmarks,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2025-12-10,2017-08-09,2026-01-08,6872c0c084494fbf94a96a0aa18e51c2_1,https://hub.arcgis.com/datasets/6872c0c084494fbf94a96a0aa18e51c2_1,08b-42003
Allegheny County Park Features [Pennsylvania--Allegheny County],Allegheny County Park Features,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-04-29,2020-10-23,2026-01-08,13722cbefb0947ea96efe1d07f9a72f8_0,https://hub.arcgis.com/datasets/13722cbefb0947ea96efe1d07f9a72f8_0,08b-42003
Allegheny County DPW Maintenance Districts [Pennsylvania--Allegheny County],Allegheny County DPW Maintenance Districts,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2025-07-03,2016-01-20,2026-01-08,92ec7a6d562b46da9323009d17009b89_0,https://hub.arcgis.com/datasets/92ec7a6d562b46da9323009d17009b89_0,08b-42003
Allegheny County DPW Maintenance Districts [Pennsylvania--Allegheny County],Allegheny County DPW Maintenance Districts,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2025-07-02,2017-08-22,2026-01-08,32cadb4592e14f6b8acb90acb5456357_0,https://hub.arcgis.com/datasets/32cadb4592e14f6b8acb90acb5456357_0,08b-42003
Allegheny County REACH Communities [Pennsylvania--Allegheny County],Allegheny County REACH Communities,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2025-08-01,2025-04-30,2026-01-08,d41ba05ea67b4593b9c79c290c3497e5_2,https://hub.arcgis.com/datasets/d41ba05ea67b4593b9c79c290c3497e5_2,08b-42003
Allegheny County Elections Polling Places (Current) [Pennsylvania--Allegheny County],Allegheny County Elections Polling Places (Current),"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-07-15,2020-10-15,2026-01-08,820b91294ec044ec98b9f6d02190faed_0,https://hub.arcgis.com/datasets/820b91294ec044ec98b9f6d02190faed_0,08b-42003
Allegheny County Community Need Index (used in 2024 report) [Pennsylvania--Allegheny County],Allegheny County Community Need Index (used in 2024 report),"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,2024,2024-04-08,2026-01-08,75f7de84e1e54b14b3ee53afa0205c39_21,https://hub.arcgis.com/datasets/75f7de84e1e54b14b3ee53afa0205c39_21,08b-42003
Allegheny County Parks Outlines [Pennsylvania--Allegheny County],Allegheny County Parks Outlines,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-04-20,2016-04-20,2026-01-08,f3ed40df96314490b56f708333a53117_0,https://hub.arcgis.com/datasets/f3ed40df96314490b56f708333a53117_0,08b-42003
Allegheny County Pennsylvania Senate District Boundaries [Pennsylvania--Allegheny County],Allegheny County Pennsylvania Senate District Boundaries,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2024-10-29,2015-10-14,2026-01-08,2dcb640fb87b4fbb91db833804b38e32_0,https://hub.arcgis.com/datasets/2dcb640fb87b4fbb91db833804b38e32_0,08b-42003
Allegheny County Census Blocks 2020 [Pennsylvania--Allegheny County],Allegheny County Census Blocks 2020,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,2020,2024-07-09,2026-01-08,71116e9fc0b740218c040a7c23eb5f08_1,https://hub.arcgis.com/datasets/71116e9fc0b740218c040a7c23eb5f08_1,08b-42003
Allegheny County Census Block Groups 2020 [Pennsylvania--Allegheny County],Allegheny County Census Block Groups 2020,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,2020,2022-08-19,2026-01-08,177b74ab1c5641dbaa16eff4f0bca9a1_2,https://hub.arcgis.com/datasets/177b74ab1c5641dbaa16eff4f0bca9a1_2,08b-42003
Allegheny County Voting District Boundaries [Pennsylvania--Allegheny County],Allegheny County Voting District Boundaries,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2025-11-21,2019-02-08,2026-01-08,faaf42d7eaa041cb9fa623ac7b42f475_0,https://hub.arcgis.com/datasets/faaf42d7eaa041cb9fa623ac7b42f475_0,08b-42003
Allegheny County PA House Districts [Pennsylvania--Allegheny County],Allegheny County PA House Districts,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2024-09-05,2024-09-05,2026-01-08,bb1fd7d35b514d7ebfb9388b62f78eda_0,https://hub.arcgis.com/datasets/bb1fd7d35b514d7ebfb9388b62f78eda_0,08b-42003
Allegheny County Golf Courses [Pennsylvania--Allegheny County],Allegheny County Golf Courses,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-04-08,2024-08-09,2026-01-08,e973f972e80944958ba6cd51ae308f02_0,https://hub.arcgis.com/datasets/e973f972e80944958ba6cd51ae308f02_0,08b-42003
Allegheny County Municipal Parks [Pennsylvania--Allegheny County],Allegheny County Municipal Parks,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-04-08,2024-08-09,2026-01-08,0dd0bbc5b39b4708a67a5cedbec137c0_0,https://hub.arcgis.com/datasets/0dd0bbc5b39b4708a67a5cedbec137c0_0,08b-42003
Allegheny County Conservation Areas [Pennsylvania--Allegheny County],Allegheny County Conservation Areas,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-04-08,2024-08-09,2026-01-08,34b2586b4ea64416a0e2683affbdf1a7_0,https://hub.arcgis.com/datasets/34b2586b4ea64416a0e2683affbdf1a7_0,08b-42003
Allegheny County Greenways [Pennsylvania--Allegheny County],Allegheny County Greenways,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-04-08,2024-08-09,2026-01-08,4e0091a6edf44d729e019e5acae6cfd3_0,https://hub.arcgis.com/datasets/4e0091a6edf44d729e019e5acae6cfd3_0,08b-42003
Allegheny County Cemeteries [Pennsylvania--Allegheny County],Allegheny County Cemeteries,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-04-08,2024-08-09,2026-01-08,3ec683c3e9534ff7ab58a606312afa37_0,https://hub.arcgis.com/datasets/3ec683c3e9534ff7ab58a606312afa37_0,08b-42003
Allegheny County Pennsylvania U.S. Legislative Congressional District Boundaries [Pennsylvania--Allegheny County],Allegheny County Pennsylvania U.S. Legislative Congressional District Boundaries,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2024-08-09,2018-03-28,2026-01-08,6f7ac1f4e635462ca188e8a239b66cab_0,https://hub.arcgis.com/datasets/6f7ac1f4e635462ca188e8a239b66cab_0,08b-42003
Allegheny County Open Spaces [Pennsylvania--Allegheny County],Allegheny County Open Spaces,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-04-08,2024-04-05,2026-01-08,bd10ebeec2164dabad09e77687f04e12_0,https://hub.arcgis.com/datasets/bd10ebeec2164dabad09e77687f04e12_0,08b-42003
Allegheny County Census Tracts 2020 [Pennsylvania--Allegheny County],Allegheny County Census Tracts 2020,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,2020,2024-07-09,2026-01-08,402e2276a0b04903955b0598dce9d383_0,https://hub.arcgis.com/datasets/402e2276a0b04903955b0598dce9d383_0,08b-42003
Allegheny County Council Districts [Pennsylvania--Allegheny County],Allegheny County Council Districts,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-02-24,2013-08-26,2026-01-08,d1e98be0250147c99974b27ed7140ddc_0,https://hub.arcgis.com/datasets/d1e98be0250147c99974b27ed7140ddc_0,08b-42003
Allegheny County Municipal Boundaries [Pennsylvania--Allegheny County],Allegheny County Municipal Boundaries,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2025-09-12,2016-04-18,2026-01-08,9de0e9c07af04e638dbc9cb9070962c2_0,https://hub.arcgis.com/datasets/9de0e9c07af04e638dbc9cb9070962c2_0,08b-42003
Allegheny County-Owned Roads Centerlines [Pennsylvania--Allegheny County],Allegheny County-Owned Roads Centerlines,"County of Allegheny, PA",Allegheny County GIS Open Data,Web services,Last Modified: 2026-02-05,2015-12-09,2026-01-08,8f48fccd18e6498e84b97ed152e17d04_0,https://hub.arcgis.com/datasets/8f48fccd18e6498e84b97ed152e17d04_0,08b-42003
