Title,Alternative Title,Creator,Publisher,Resource Class,Temporal Coverage,Date Issued,Date Accessioned,ID,Identifier,Code
Weather Sensor Data,Weather Sensor Data,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-28,2026-07-17,2026-07-28,a60b5473-a3dd-48e7-b6b4-89b81b66945c,weather-sensor-data,07c-02
Monthly Solid Waste Totals,Monthly Solid Waste Totals,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-28,2025-07-18,2026-05-29,817e4813-0d0d-4368-a139-faef9f89b190,monthly-solid-waste-totals,07c-02
PFAS Sampling Data,PFAS Sampling Data,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-28,2025-07-18,2026-05-29,7277c199-1913-46f7-bada-40fe325f4094,pfas-sampling-data,07c-02
Air Quality Sensor Data,Air Quality Sensor Data,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-28,2025-07-21,2026-05-29,3b531fba-bf1e-44a4-ae30-7caaaa76f705,air-quality-sensor-data,07c-02
Rainfall at City-Operated Rain Gauges,Rainfall at City-Operated Rain Gauges,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-28,2025-07-18,2026-05-29,9c24a5f2-df1f-4174-9dde-b7c7eda3a84d,rainfall-at-city-operated-rain-gauges,07c-02
Housing Commission Story Map,Housing Commission Story Map,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-27,2025-09-22,2026-05-29,2e46b74c-a050-4420-9d79-591647439042,housing-commission-story-map,07c-02
Zoning Districts,Zoning Districts,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-26,2025-07-28,2026-05-29,970c31c9-c9c4-4082-a173-a97addf91642,zoning-districts,07c-02
City of Ann Arbor Area Zipcodes,City of Ann Arbor Area Zipcodes,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-26,2025-08-31,2026-05-29,78e6b220-7e8a-439c-9534-16586578fd32,city-of-ann-arbor-area-zipcodes,07c-02
Waterbodies,Waterbodies,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-26,2026-07-09,2026-07-28,6b3d940b-cabd-4a55-a3f1-e75fb8770f90,waterbodies,07c-02
Wards and Precincts,Wards and Precincts,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-26,2025-07-28,2026-05-29,8c6a26f9-1e91-448e-89ca-e83c0126cd94,wards-and-precincts,07c-02
University Owned Land,University Owned Land,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-26,2025-07-28,2026-05-29,bb50cfd7-4cd9-4198-b438-0ce1add8acb8,university-owned-land,07c-02
Street Trees,Street Trees,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-26,2025-07-28,2026-05-29,653f6c44-95a6-4ca7-a4dc-a88cbe1025a3,street-trees,07c-02
Streetlights,Streetlights,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-26,2025-07-28,2026-05-29,352ac737-a717-4ff0-8501-f2b6315fc77e,streetlights,07c-02
Schools,Schools,City of Ann Arbor,Ann Arbor Data Catalog,Datasets,Last Modified: 2026-07-26,2025-07-28,2026-05-29,e40d794d-8b84-4e1a-bc69-aa9ef6135533,schools,07c-02
