friendlier_id,reference_type,distribution_url,label
2dnv-3zhz,documentation_external,https://data.bloomington.in.gov/d/2dnv-3zhz,
2z3a-pv4d,documentation_external,https://data.bloomington.in.gov/d/2z3a-pv4d,
37cr-hskz,documentation_external,https://data.bloomington.in.gov/d/37cr-hskz,
37fk-f9fn,documentation_external,https://data.bloomington.in.gov/d/37fk-f9fn,
3a4p-5rca,documentation_external,https://data.bloomington.in.gov/d/3a4p-5rca,
3pgq-dbni,documentation_external,https://data.bloomington.in.gov/d/3pgq-dbni,
3zab-yq4z,documentation_external,https://data.bloomington.in.gov/d/3zab-yq4z,
4ez4-mguv,documentation_external,https://data.bloomington.in.gov/d/4ez4-mguv,
4npn-ujt9,documentation_external,https://data.bloomington.in.gov/d/4npn-ujt9,
59er-4n3f,documentation_external,https://data.bloomington.in.gov/d/59er-4n3f,
668t-jg2w,documentation_external,https://data.bloomington.in.gov/d/668t-jg2w,
6nix-hfgf,documentation_external,https://data.bloomington.in.gov/d/6nix-hfgf,
6y6u-a7ke,documentation_external,https://data.bloomington.in.gov/d/6y6u-a7ke,
7nrn-cv4c,documentation_external,https://data.bloomington.in.gov/d/7nrn-cv4c,
7xda-miz5,documentation_external,https://data.bloomington.in.gov/d/7xda-miz5,
7xga-b2w7,documentation_external,https://data.bloomington.in.gov/d/7xga-b2w7,
7xsy-cpc8,documentation_external,https://data.bloomington.in.gov/d/7xsy-cpc8,
8yia-fgp6,documentation_external,https://data.bloomington.in.gov/d/8yia-fgp6,
9bzi-jstz,documentation_external,https://data.bloomington.in.gov/d/9bzi-jstz,
apcz-492v,documentation_external,https://data.bloomington.in.gov/d/apcz-492v,
b8yb-iwu6,documentation_external,https://data.bloomington.in.gov/d/b8yb-iwu6,
bb3b-6hg6,documentation_external,https://data.bloomington.in.gov/d/bb3b-6hg6,
bbv8-zsj5,documentation_external,https://data.bloomington.in.gov/d/bbv8-zsj5,
bik6-u9s9,documentation_external,https://data.bloomington.in.gov/d/bik6-u9s9,
bk7e-xkzb,documentation_external,https://data.bloomington.in.gov/d/bk7e-xkzb,
c2bx-gh32,documentation_external,https://data.bloomington.in.gov/d/c2bx-gh32,
c5d5-eci9,documentation_external,https://data.bloomington.in.gov/d/c5d5-eci9,
dkff-vpm7,documentation_external,https://data.bloomington.in.gov/d/dkff-vpm7,
du2g-dxvr,documentation_external,https://data.bloomington.in.gov/d/du2g-dxvr,
dwr9-4gq9,documentation_external,https://data.bloomington.in.gov/d/dwr9-4gq9,
fmtq-ct5d,documentation_external,https://data.bloomington.in.gov/d/fmtq-ct5d,
fvmi-seaw,documentation_external,https://data.bloomington.in.gov/d/fvmi-seaw,
gin2-kvms,documentation_external,https://data.bloomington.in.gov/d/gin2-kvms,
gwc4-7gv6,documentation_external,https://data.bloomington.in.gov/d/gwc4-7gv6,
gx4i-zcmv,documentation_external,https://data.bloomington.in.gov/d/gx4i-zcmv,
hxz9-33ng,documentation_external,https://data.bloomington.in.gov/d/hxz9-33ng,
hy7z-gbif,documentation_external,https://data.bloomington.in.gov/d/hy7z-gbif,
hzvr-vfib,documentation_external,https://data.bloomington.in.gov/d/hzvr-vfib,
ik6r-d5s3,documentation_external,https://data.bloomington.in.gov/d/ik6r-d5s3,
j9kp-gbih,documentation_external,https://data.bloomington.in.gov/d/j9kp-gbih,
