Title,Alternative Title,Creator,Publisher,Resource Class,Temporal Coverage,Date Issued,Date Accessioned,ID,Identifier,Code
Bloomington 2-Mile Fringe [Indiana--Bloomington],Bloomington 2-Mile Fringe,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2023-10-04,2022-08-11,2026-02-08,2dnv-3zhz,https://data.bloomington.in.gov/api/views/2dnv-3zhz,01c-01
Tax Increment Finance District [Indiana--Bloomington],Tax Increment Finance District,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2025-01-09,2023-10-05,2026-02-08,2z3a-pv4d,https://data.bloomington.in.gov/api/views/2z3a-pv4d,01c-01
Proposed Annexation 2021 [Indiana--Bloomington],Proposed Annexation 2021,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,2021,2023-10-04,2026-02-08,37cr-hskz,https://data.bloomington.in.gov/api/views/37cr-hskz,01c-01
Waterbodies [Indiana--Bloomington],Waterbodies,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2025-04-01,2025-04-01,2026-02-08,37fk-f9fn,https://data.bloomington.in.gov/api/views/37fk-f9fn,01c-01
Monroe County Opportunity Zones [Indiana--Bloomington],Monroe County Opportunity Zones,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2025-01-09,2023-01-13,2026-02-08,3a4p-5rca,https://data.bloomington.in.gov/api/views/3a4p-5rca,01c-01
Downtown Overlay District [Indiana--Bloomington],Downtown Overlay District,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2024-09-03,2023-12-15,2026-02-08,3pgq-dbni,https://data.bloomington.in.gov/api/views/3pgq-dbni,01c-01
EMS Dispatch Zones [Indiana--Bloomington],EMS Dispatch Zones,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2025-05-30,2025-05-30,2026-02-08,3zab-yq4z,https://data.bloomington.in.gov/api/views/3zab-yq4z,01c-01
Building Areas [Indiana--Bloomington],Building Areas,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2026-07-05,2025-10-29,2026-02-08,4ez4-mguv,https://data.bloomington.in.gov/api/views/4ez4-mguv,01c-01
Edge of Pavement [Indiana--Bloomington],Edge of Pavement,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2025-01-09,2024-07-23,2026-02-08,4npn-ujt9,https://data.bloomington.in.gov/api/views/4npn-ujt9,01c-01
Sidewalk Inventory [Indiana--Bloomington],Sidewalk Inventory,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2026-07-06,2025-08-18,2026-02-08,59er-4n3f,https://data.bloomington.in.gov/api/views/59er-4n3f,01c-01
Park Recreation Facilities [Indiana--Bloomington],Park Recreation Facilities,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2025-03-06,2023-11-09,2026-02-08,668t-jg2w,https://data.bloomington.in.gov/api/views/668t-jg2w,01c-01
OtherDesignatedHistoricDistricts [Indiana--Bloomington],OtherDesignatedHistoricDistricts,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2025-03-01,2024-05-24,2026-02-08,6nix-hfgf,https://data.bloomington.in.gov/api/views/6nix-hfgf,01c-01
Intersections [Indiana--Bloomington],Intersections,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2023-12-15,2023-10-04,2026-02-08,6y6u-a7ke,https://data.bloomington.in.gov/api/views/6y6u-a7ke,01c-01
Monroe County Incorporated Areas [Indiana--Bloomington],Monroe County Incorporated Areas,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2026-03-01,2024-11-10,2026-02-08,7nrn-cv4c,https://data.bloomington.in.gov/api/views/7nrn-cv4c,01c-01
Railroad [Indiana--Bloomington],Railroad,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2026-07-06,2023-06-28,2026-02-08,7xda-miz5,https://data.bloomington.in.gov/api/views/7xda-miz5,01c-01
Bikeways [Indiana--Bloomington],Bikeways,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2026-06-05,2026-06-05,2026-02-08,7xga-b2w7,https://data.bloomington.in.gov/api/views/7xga-b2w7,01c-01
GIS Mapped Area [Indiana--Bloomington],GIS Mapped Area,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2023-12-15,2023-12-15,2026-02-08,7xsy-cpc8,https://data.bloomington.in.gov/api/views/7xsy-cpc8,01c-01
Road Centerlines [Indiana--Bloomington],Road Centerlines,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2026-07-06,2026-03-04,2026-02-08,8yia-fgp6,https://data.bloomington.in.gov/api/views/8yia-fgp6,01c-01
Monroe County Fire Districts [Indiana--Bloomington],Monroe County Fire Districts,data.bloomington.in.gov,"City of Bloomington, Indiana Open Data Portal",Web services,Last Modified: 2026-05-03,2025-05-30,2026-02-08,9bzi-jstz,https://data.bloomington.in.gov/api/views/9bzi-jstz,01c-01
