Title,Description,Resource Class,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Access Rights,Suppressed Record,ID,Identifier,Code,Tags,Admin Note,Due Date,Due Status,Days Until Due,Website Title,Website Alternative Title,Website Description,Website Display Note,Website Creator,Website Creator ID,Website Publisher,Website Provider,Website Resource Class,Website Resource Type,Website Subject,Website Theme,Website Keyword,Website Language,Website B1G Language,Website Local Collection,Website Temporal Coverage,Website Date Issued,Website Index Year,Website Date Range,Website Spatial Coverage,Website Bounding Box,Website Geometry,Website Centroid,Website GeoNames,Website Coordinate Reference System,Website Spatial Resolution in Meters,Website Spatial Resolution as Text,Website Georeferenced,Website Provenance,Website Publication State,Website Website Platform,Website Endpoint URL,Website Endpoint Description,Website Is Harvested,Website Last Harvested,Website Accrual Method,Website Accrual Periodicity,Website Harvest Workflow,Website Created At,Website Updated At,Website Date Accessioned,Website Date Retired,Website Format,Website File Size,Website B1G Image,Website Member Of,Website Is Part Of,Website Source,Website Is Version Of,Website Replaces,Website Is Replaced By,Website Relation,Website Rights,Website License,Website Rights Holder,Website Access Rights,Website Suppressed Record,Website Deprioritized,Website Mediator,Website Access,Website ID,Website Identifier,Website WxS Identifier,Website Code,Website Tags,Website Admin Note,Effective Harvest Workflow,Website Match Count
Harvest record for Western Pennsylvania Regional Data Center Open Data,Harvest record - temporary,Series,draft,CKAN,http://www.wprdc.org/api/3/action/package_list,CKAN API,true,2021-04-27,Automated retrieval,Quarterly,py_ckan,Public,true,harvest_08f-01,08f-01,08f-01,,,2021-07-27,Overdue,-1707,Western Pennsylvania Regional Data Center Open Data,,"The Western Pennsylvania Regional Data Center supports key community initiatives by making public information easier to find and use. The Data Center provides a technological and legal infrastructure for data sharing to support a growing ecosystem of data providers and data users. The Data Center maintains Allegheny County and the City of Pittsburgh’s open data portal, and provides a number of services to data publishers and users. The Data Center also hosts datasets from these and other public sector agencies, academic institutions, and non-profit organizations. The Data Center is managed by the University of Pittsburgh’s Center for Social and Urban Research, and is a partnership of the University, Allegheny County and the City of Pittsburgh.",,,,University of Pittsburgh,,Websites,Data portals,Intergovernment records,,,eng,,,Continually updated resource,,,,Pennsylvania,"-80.521,39.720,-74.689,42.515","POLYGON((-80.521 42.515, -74.689 42.515, -74.689 39.720, -80.521 39.720, -80.521 42.515))","41.1175,-77.60499999999999",,,,,,,published,CKAN,http://www.wprdc.org/api/3/action/package_list,CKAN API,true,2021-04-27,Automated retrieval,Quarterly,py_ckan,2021-04-27 13:50:03 -0500,2026-03-29 18:06:30 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,08f-01,http://www.wprdc.org,,08f-01,,,py_ckan,1
Harvest record for SimplyAnalytics,Harvest record - temporary,Series,draft,,,,true,2020-11-18,Manual curation,Annual,template_children,Public,true,harvest_999-0004,999-0004,999-0004,,,2021-11-18,Overdue,-1593,SimplyAnalytics,,"Formerly named SimplyMap, SimplyAnalytics is a web-based mapping tool that lets users quickly create professional-quality thematic maps and reports using powerful demographic, business, and marketing data. Maps are exportable as shapefiles.",Warning: Requires logging in through an organization with licensed access. Different institutions may have licenses for different years or locations.,"Geographic Research, Inc.",,,,Websites,Interactive resources,,Economy,Simply Analytics|2022-creator-sprint,eng,,,1980-present,,1980,1980-2021,United States,"-179.9,-14.8,-64.4,71.6","POLYGON((-179.9 71.6, -64.4 71.6, -64.4 -14.8, -179.9 -14.8, -179.9 71.6))","28.4,-122.15",,,,,,,published,,,,true,2020-11-18,Manual curation,Annual,template_children,2021-04-27 15:43:13 -0500,2026-03-13 10:55:42 -0500,,,,,,999-licensed-resources,,,,,,8888-001,,,,Restricted,,,University of Illinois Urbana-Champaign|Indiana University|University of Iowa|University of Maryland|University of Michigan|Michigan State University|University of Minnesota|Pennsylvania State University|Purdue University|Michigan State University,,999-0004,,,999-0004,,,template_children,1
Harvest record for General Land Office Township Plats: Minnesota,Harvest record - temporary,Series,draft,Custom data portal,,HTML,true,2021-04-26,Manual curation,Annual,template_children,Public,true,harvest_05a-03,05a-03,05a-03,,,2022-04-26,Overdue,-1434,General Land Office Township Plats: Minnesota,"Minnesota Original Public Land Survey Plat Maps, Digital Images, Geo-referenced","Minnesota's original public land survey plat maps were created between 1848 and 1907 during the first government land survey of the state by the U.S. Surveyor General's Office. This collection of more than 3,600 maps includes later General Land Office (GLO) and Bureau of Land Management maps up through 2001. Scanned images of the maps are available in several digital formats and most have been georeferenced.",,Minnesota Geospatial Information Office (MnGeo),,Minnesota Geospatial Information Office (MnGeo),,Websites,Digital repositories,Map collections,,land survey|surveyor|public land survey system|PLSS|pls|OpenIndexMaps,eng,,,1848-1907,,1848,1848-1907,Minnesota,"-97.24,43.5,-89.48,49.38","POLYGON((-97.24 49.38, -89.48 49.38, -89.48 43.5, -97.24 43.5, -97.24 49.38))","46.44,-93.36",,,,,,,published,Custom data portal,,HTML,true,2021-04-26,Manual curation,Annual,template_children,2021-04-26 12:02:54 -0500,2026-03-29 14:42:15 -0500,,,,,,77f-0001,,,,,,,,,,Public,,,,,05a-03,http://www.mngeo.state.mn.us/glo/Index.htm,,05a-03,,,template_children,1
Harvest record for Minnesota Geological Survey County Atlas Series,Harvest record - temporary,Series,draft,,,,true,2021-04-26,Manual curation,Annual,template_children,Public,true,harvest_05d-04,05d-04,05d-04,ogm,,2022-04-26,Overdue,-1434,Minnesota Geological Survey County Atlas Series,,,,Minnesota Geological Survey,,,University of Minnesota,Websites,Digital repositories,,,,,,,,,,,,"-97.24,43.5,-89.48,49.38","POLYGON((-97.24 49.38, -89.48 49.38, -89.48 43.5, -97.24 43.5, -97.24 49.38))","46.44,-93.36",,,,,,,published,,,,true,2021-04-26,Manual curation,Annual,template_children,2021-04-26 12:02:52 -0500,2026-03-29 15:09:05 -0500,,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488|dc8c18df-7d64-4ff4-a754-d18d0891187d,,,,,,,,,,Public,,,,,05d-04,https://conservancy.umn.edu/handle/11299/57196,,05d-04,ogm,,template_children,1
Harvest record for Digital Sanborn Maps (Black & White) [All States] {1867-1970},Harvest record - temporary,Series,draft,,,,true,2021-04-27,Manual curation,Annual,template_children,Public,true,harvest_999-0011,999-0011,999-0011,,,2022-04-27,Overdue,-1433,Digital Sanborn Maps (Black & White) [All States] {1867-1970},"Digital Sanborn Maps, 1867-1970","ProQuest Digital Sanborn® Maps (1867–1970) is a subscription-based web application providing online access to digitized Sanborn fire insurance maps for more than 12,000 U.S. towns and cities. Access is restricted to authorized users and requires authentication through a subscribing institution. The platform delivers high-resolution, black-and-white digital scans derived from Library of Congress microfilm editions of the Sanborn Map Company’s printed volumes. Users can search by state, city, and date, browse available volumes, zoom and pan within sheets, and download map images (subject to licensing terms).|Sanborn maps were originally created for the fire insurance industry and depict detailed building-level information, including footprint outlines, construction materials, number of stories, building use, street names, property boundaries, block numbers, and other infrastructure features. Coverage varies by location and year. While many maps are in the public domain, some later sheets may remain under copyright; use and reproduction are governed by ProQuest’s licensing agreement and applicable copyright law.",Warning: Requires logging in through an organization with licensed access. Different institutions may have licenses for different years or locations.,Sanborn Map Company,,ProQuest Information and Learning,,Websites,Interactive resources,,,Sanborn,eng,,,1867-1970,,1867,1867-1970,United States,"-179.9,-14.8,-64.4,71.6","MULTIPOLYGON(((-178.44 28.52, -154.76 28.52, -154.76 18.86, -178.44 18.86, -178.44 28.52)),((-125.11 49.19, -66.66 49.19, -66.66 24.82, -125.11 24.82, -125.11 49.19)),((-179.3 51.1, -129.9 51.1, -129.9 71.5, -179.3 71.5, -179.3 51.1)))","28.4,-122.15",,,,,,,published,,,,true,2021-04-27,Manual curation,Annual,template_children,2024-06-20 16:04:49 -0500,2026-03-13 10:55:13 -0500,,,,,,999-licensed-resources,,,,,,8888-001|8888-002,,,,Restricted,,,University of Illinois Urbana-Champaign|Indiana University|University of Iowa|University of Maryland|University of Michigan|Northwestern University,,999-0011,,,999-0011,,,template_children,1
Harvest record for Fire Insurance Maps Online (FIMo) [All States],Harvest record - temporary,Series,draft,,,,true,2021-04-27,Manual curation,Annual,template_children,Public,true,harvest_999-0010,999-0010,999-0010,,,2022-04-27,Overdue,-1433,Fire Insurance Maps Online (FIMo) [All States],,"Provides access to a digital collection of historical color fire insurance maps, real estate atlases, and similar land use maps for North America. High definition, color and gray-scale images display important historical details not visible on black and white map scans. Includes map research tools and search tips to make finding maps for a specific location easy. Maps include publications by Sanborn, Perris, Hexamer, Whipple, Baist, Bromley, Hopkins and others.",Warning: Requires logging in through an organization with licensed access. Different institutions may have licenses for different years or locations.,,,"Historical Information Gatherers, Inc",,Websites,Interactive resources,,,Sanborn,eng,,,Between 1880 and 1955,,1880,1880-1955,Alabama|Alaska|Arizona|Arkansas|California|Colorado|Connecticut|Delaware|District of Columbia|Florida|Georgia|Hawaii|Idaho|Illinois|Indiana|Iowa|Kansas|Kentucky|Louisiana|Maine|Maryland|Massachusetts|Mexico|Michigan|Minnesota|Mississippi|Missouri|Montana|Nebraska|Nevada|New Hampshire|New Jersey|New Mexico|New York|North Carolina|North Dakota|Ohio|Oklahoma|Oregon|Pennsylvania|Puerto Rico|Rhode Island|South Carolina|South Dakota|Tennessee|Texas|Utah|Vermont|Virginia|Washington|West Virginia|Wisconsin|Wyoming,"-179.9,-14.8,-64.4,71.6","MULTIPOLYGON(((-178.44 28.52, -154.76 28.52, -154.76 18.86, -178.44 18.86, -178.44 28.52)),((-125.11 49.19, -66.66 49.19, -66.66 24.82, -125.11 24.82, -125.11 49.19)),((-179.3 51.1, -129.9 51.1, -129.9 71.5, -179.3 71.5, -179.3 51.1)))","28.4,-122.15",,,,,,,published,,,,true,2021-04-27,Manual curation,Annual,template_children,2024-06-20 16:04:55 -0500,2026-03-13 10:55:17 -0500,,,,,,999-licensed-resources,,,,,,8888-001|8888-002|999-0011,,,,Restricted,,,University of Chicago|University of Michigan|Indiana University|University of Minnesota,,999-0010,,,999-0010,,,template_children,1
Harvest record for National Historical Geographic Information System (NHGIS),Harvest record - temporary,Series,draft,,,,true,2021-04-27,Manual curation,Annual,template_children,Public,true,harvest_05d-10,05d-10,05d-10,,,2022-04-27,Overdue,-1433,National Historical Geographic Information System (NHGIS),,"The National Historical Geographic Information System (NHGIS) provides easy access to summary tables and time series of population, housing, agriculture, and economic data, along with GIS-compatible boundary files, for years from 1790 through the present and for all levels of U.S. census geography, including states, counties, tracts, and blocks.",,IPUMS Center for Data Integration,,,University of Minnesota,Websites,Interactive resources,National government records|Census,,Census,eng,,,Continually updated resource,,,,,"144.4,-14.8,-64.4,71.6","POLYGON((144.4 71.6, -64.4 71.6, -64.4 -14.8, 144.4 -14.8, 144.4 71.6))","28.4,40.0",,,,,,,published,,,,true,2021-04-27,Manual curation,Annual,template_children,2021-04-26 12:02:53 -0500,2026-03-29 15:11:02 -0500,,,,,,b0153110-e455-4ced-9114-9b13250a7093,,,,,,,,,,Public,,,,,05d-10,https://www.nhgis.org,,05d-10,,,template_children,1
Harvest record for PolicyMap,Harvest record - temporary,Series,draft,,,,true,2021-04-27,Manual curation,Annual,template_children,Public,true,harvest_999-0003,999-0003,999-0003,,,2022-04-27,Overdue,-1433,PolicyMap,,"Policymap is an online data and mapping application that gives access to over 15,000 indicators related to housing, crime, mortgages, health, jobs, demographics and education. Data are available at all common geographies (address, block group, census tract, zip code, county, city, state, MSA) as well as unique geographies like school districts and political boundaries. Data come from both public and proprietary sources. Many of the public files are available for download. Through PolicyMap, you can access all data in interactive maps, tables, charts, reports and through a unique analytic tool. You may also upload your own address level data and share your data and interactive maps with others.",Warning: Requires logging in through an organization with licensed access. Different institutions may have licenses for different years or locations.,PolicyMap,,PolicyMap,,Websites,Interactive resources,Census,,Policy Map|Policy,eng,,,1990-present,,1990,1990-2020,United States,"-179.9,-14.8,-64.4,71.6","POLYGON((-179.9 71.6, -64.4 71.6, -64.4 -14.8, -179.9 -14.8, -179.9 71.6))","28.4,-122.15",,,,,,,published,,,Manual,true,2021-04-27,Manual curation,Annual,template_children,2021-04-27 15:43:07 -0500,2026-03-13 10:55:37 -0500,,,,,,999-licensed-resources,,,,,,8888-001,,,,Restricted,,,University of Chicago|University of Iowa|University of Maryland|University of Michigan|Michigan State University|University of Minnesota|The Ohio State University|Pennsylvania State University|Rutgers University-New Brunswick|University of Wisconsin-Madison,,999-0003,,,999-0003,,,template_children,1
Harvest record for Illinois Geospatial Data Clearinghouse,Harvest record - temporary,Series,draft,Custom data portal,https://clearinghouse.isgs.illinois.edu/data,HTML,true,2025-08-23,Automated retrieval,Monthly,py_isgs,Public,true,harvest_02a-01,02a-01,02a-01,,,2025-09-23,Overdue,-188,Illinois Geospatial Data Clearinghouse,,Website for finding and accessing open data provided by Illinois State Geological Survey,,Illinois State Geological Survey|Prairie Research Institute|University of Illinois Urbana-Champaign,,Illinois State Geological Survey,,Websites,Data portals,State government records,,,eng,,,Continually updated resource,,,,Illinois,"-91.51,36.97,-87.02,42.51","POLYGON((-91.51 42.51, -87.02 42.51, -87.02 36.97, -91.51 36.97, -91.51 42.51))","39.739999999999995,-89.265",,,,,,,published,Custom data portal,https://clearinghouse.isgs.illinois.edu/data,HTML,true,2025-08-23,Automated retrieval,Monthly,py_isgs,2021-04-27 13:49:59 -0500,2026-03-29 13:39:37 -0500,,,,,,dc8c18df-7d64-4ff4-a754-d18d0891187d,,,,,,,,,,Public,,,,,02a-01,https://clearinghouse.isgs.illinois.edu,,02a-01,,,py_isgs,1
Harvest record for PASDA: The Pennsylvania Geospatial Data Clearinghouse,Harvest record - temporary,Series,draft,Custom data portal,https://www.pasda.psu.edu/uci/SearchResults.aspx?Keyword=+,HTML,true,2025-11-16,Automated retrieval,Monthly,py_pasda,Public,true,harvest_08a-01,08a-01,08a-01,,,2025-12-16,Overdue,-104,PASDA: The Pennsylvania Geospatial Data Clearinghouse,,Pennsylvania Spatial Data Access (PASDA) is Pennsylvania's official public access open geospatial data portal. PASDA was developed in 1995 by the Pennsylvania State University and has served as the geospatial data portal for Pennsylvania for over twenty three years.,,Pennsylvania State University,,"Governor's Office of Administration, Office for Information Technology|Pennsylvania State University",,Websites,Data portals,State government records|County government records|Municipal government records,,State agencies geospatial data,eng,,,,,,,,"-80.521,39.720,-74.689,42.515","POLYGON((-80.521 42.515, -74.689 42.515, -74.689 39.720, -80.521 39.720, -80.521 42.515))","41.1175,-77.60499999999999",,,,,,,published,Custom data portal,https://www.pasda.psu.edu/uci/SearchResults.aspx?Keyword=+,HTML,true,2025-11-16,Automated retrieval,Monthly,py_pasda,2021-04-27 13:50:03 -0500,2026-03-29 17:43:01 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,08a-01,https://www.pasda.psu.edu,,08a-01,,,py_pasda,1
