Title,Alternative Title,Description,Display Note,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Language,B1G Language,Local Collection,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Bounding Box,Geometry,Centroid,GeoNames,Coordinate Reference System,Spatial Resolution in Meters,Spatial Resolution as Text,Georeferenced,Provenance,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Created At,Updated At,Date Accessioned,Date Retired,Format,File Size,B1G Image,Member Of,Is Part Of,Source,Is Version Of,Replaces,Is Replaced By,Relation,Rights,License,Rights Holder,Access Rights,Suppressed Record,Deprioritized,Mediator,Access,ID,Identifier,WxS Identifier,Code,Tags,Admin Note,Due Date,Due Status,Days Until Due,Review Date,Review Status,Website Title,Website Creator,Website Publisher,Website Provider,Website Spatial Coverage,Website Bounding Box,Website Geometry,Website Centroid,Website Member Of,Website Is Part Of,Website ID,Website Identifier,Website Code,Website Harvest Workflow,Effective Harvest Workflow,Website Match Count,Website Name
Harvest record for Urban Base Layers - Minneapolis,,Curated datasets from the city of Minneapolis,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2011-01-01 / acquisition / purchase by UMN Libraries|2025-12-18 / ingest / 12 datasets,draft,,,,,2011-01-01,Mediated deposit,Annual,curation_datasets,2026-04-03 07:06:52 -0500,2026-04-15 18:02:16 -0500,,,,,,,,,,,,,,,,Public,,,,,b1g_27_43000,,,b1g_27_43000,,,2012-01-01,Due,-5228,,No Review,,,,,,,,,,,,,,,curation_datasets,0,
Harvest record for SimplyAnalytics,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2020-11-18 / harvest,draft,,,,,2020-11-18,Manual curation,Annual,template_children,2026-03-28 16:05:10 -0500,2026-04-15 18:02:11 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_999-0004,999-0004,,999-0004,,,2021-11-18,Due,-1619,,No Review,SimplyAnalytics,"Geographic Research, Inc.",,,United States,"-179.9,-14.8,-64.4,71.6","POLYGON((-179.9 71.6, -64.4 71.6, -64.4 -14.8, -179.9 -14.8, -179.9 71.6))","28.4,-122.15",999-licensed-resources,,999-0004,,999-0004,,template_children,1,
Harvest record for PolicyMap,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,,,,,2021-04-27,Manual curation,Annual,template_children,2026-03-28 16:05:04 -0500,2026-04-15 18:02:08 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_999-0003,999-0003,,999-0003,,,2022-04-27,Due,-1459,,No Review,PolicyMap,PolicyMap,PolicyMap,,United States,"-179.9,-14.8,-64.4,71.6","POLYGON((-179.9 71.6, -64.4 71.6, -64.4 -14.8, -179.9 -14.8, -179.9 71.6))","28.4,-122.15",999-licensed-resources,,999-0003,,999-0003,,template_children,1,
Harvest record for University of Iowa Digital Library: Atlases and Maps,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2025-09-16 / harvest,draft,Islandora,https://digital.lib.uiowa.edu/oai2/oai.php?verb=ListRecords&metadataPrefix=mods&set=ui_dep,OAI-PMH,,2025-09-16,Automated retrieval,Irregular,py_oaipmh,2026-03-28 16:05:08 -0500,2026-04-15 18:02:31 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_03d-01,03d-01,,03d-01,ogm|queue:pending_harvest|harvest_due:2026-04-10,"2026-04-09 ~ needed to work with Iowa's IT and contracted developer to whitelist my IP address and open their CORS headings
2026-04-13 ~ many new atlas records: remediated Spatial Coverage and matched bboxes",2026-04-10,Due,-15,,No Review,University of Iowa Digital Library: Atlases and Maps,University of Iowa,,University of Iowa,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,03d-01,https://digital.lib.uiowa.edu/islandora/object/ui_root?sort=mods_titleInfo_title_ss%20asc&islandora_solr_search_navigation=0&f%5B0%5D=RELS_EXT_isMemberOfCollection_uri_ms%3A%22info%5C%3Afedora%5C/ui%5C%3Amaps%22,03d-01,,py_oaipmh,1,
Harvest record for Minnesota Geospatial Commons,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2026-03-16 / harvest / added 5, retired 11",draft,CKAN,https://gisdata.mn.gov/api/3/action/package_search,CKAN API,,2026-03-16,Automated retrieval,Monthly,py_mncommons_ckan,2026-03-28 16:04:24 -0500,2026-04-15 18:02:22 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05a-01_ckan,05a-01,,05a-01,,,2026-04-16,Due,-9,,No Review,Minnesota Geospatial Commons,,Minnesota Department of Natural Resources|Minnesota Geospatial Information Office|Metropolitan Council of the Twin Cities|Minnesota Pollution Control Agency|Minnesota Department of Agriculture,,Minnesota,"-97.24,43.5,-89.48,49.38","POLYGON((-97.24 49.38, -89.48 49.38, -89.48 43.5, -97.24 43.5, -97.24 49.38))","46.44,-93.36",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05a-01,https://gisdata.mn.gov/,05a-01,,py_mncommons_ckan,1,
Harvest record for Ann Arbor Data Catalog,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,,draft,CKAN,https://ckan.a2gov.org/api/3/action/package_list,CKAN API,,,Automated retrieval,Quarterly,py_ckan,2026-04-15 18:02:32 -0500,2026-04-15 18:02:32 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_07c-02,07c-02,,07c-02,queue:pending_updates|archive_candidate,,2026-04-25,Due,0,,No Review,Ann Arbor Data Catalog,,,,Michigan--Ann Arbor|Michigan,"-83.800,42.223,-83.676,42.324","POLYGON((-83.800 42.324, -83.676 42.324, -83.676 42.223, -83.800 42.223, -83.800 42.324))","42.2735,-83.738",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,07c-02,https://www.a2gov.org/services/data-catalog/,07c-02,,py_ckan,1,
Harvest record for City of Milwaukee Open Data,,,,,,,,Series,,,,,,,,,,,,,,,,,,,,,,draft,CKAN,https://data.milwaukee.gov/api/3/action/package_list,CKAN API,,,Automated retrieval,Quarterly,py_ckan,2026-04-15 18:22:33 -0500,2026-04-15 18:22:33 -0500,,,,,,,,,,,,,,,,Public,,,,,harvest_10c-01,10c-01,,10c-01,queue:pending_harvest,,2026-04-25,Due,0,,No Review,,,,,,,,,,,,,,,py_ckan,0,
Harvest record for National Historical Geographic Information System (NHGIS),,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,,,,,2021-04-27,Manual curation,Irregular,template_children,2026-03-28 16:05:09 -0500,2026-04-15 18:02:22 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05d-10,05d-10,,05d-10,queue:pending_updates,"2026-04-10 ~ sort out how the child records are organized, remove them from this website pairing",2026-04-25,Due,0,,No Review,National Historical Geographic Information System (NHGIS),IPUMS Center for Data Integration,,University of Minnesota,,"144.4,-14.8,-64.4,71.6","POLYGON((144.4 71.6, -64.4 71.6, -64.4 -14.8, 144.4 -14.8, 144.4 71.6))","28.4,40.0",b0153110-e455-4ced-9114-9b13250a7093,,05d-10,https://www.nhgis.org,05d-10,,template_children,1,
Harvest record for Humanitarian Data Exchange,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2026-03-30 / harvest / 315 new items, 9 retired",draft,CKAN,https://data.humdata.org/api/3/action/package_search,CKAN API,,2026-03-30,Automated retrieval,Monthly,py_hdx,2026-03-28 16:04:23 -0500,2026-04-15 18:01:56 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_99-1400,99-1400,,99-1400,,,2026-04-30,Scheduled,5,,No Review,Humanitarian Data Exchange,Centre for Humanitarian Data,Centre for Humanitarian Data,,,,,,b0153110-e455-4ced-9114-9b13250a7093,,99-1400,https://data.humdata.org,99-1400,,py_hdx,1,
Scan Socrata Sites,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2026-03-30 / harvest,draft,Socrata,https://data.bloomington.in.gov/data.json,DCAT API,true,2026-03-30,Automated retrieval,Monthly,py_socrata,2026-03-28 16:04:37 -0500,2026-04-15 18:01:37 -0500,,,,,,,,,,,,,,,,Public,true,,,,py_socrata,,,01c-01,archive_candidate,,2026-04-30,Scheduled,5,,No Review,8 websites,,Indiana--Bloomington,,Indiana--Bloomington|Indiana,"-86.592,39.121,-86.471,39.221","POLYGON((-86.592 39.221, -86.471 39.221, -86.471 39.121, -86.592 39.121, -86.592 39.221))","39.171,-86.5315",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,https://data.bloomington.in.gov,01c-01,,py_socrata,8,8 websites
