Code,Title,Identifier,Harvest Run,Harvest Message,Total Records Found,New Records,Unpublished Records
08b-42003,Harvest record for Allegheny County GIS Open Data,08b-42003,success,[ArcGIS] Fetched 08b-42003 — Allegheny County GIS Open Data,57,0,0
04b-24003,Harvest record for Anne Arundel County GIS Data,04b-24003,success,[ArcGIS] Fetched 04b-24003 — Anne Arundel County GIS Data,0,0,0
10b-55003,"Harvest record for Ashland County, WI GIS Open Data Portal",10b-55003,success,"[ArcGIS] Fetched 10b-55003 — Ashland County, WI GIS Open Data Portal",11,0,0
11b-39009,Harvest record for Athens County GIS Data,11b-39009,success,[ArcGIS] Fetched 11b-39009 — Athens County GIS Data,15,0,0
04b-24005,Harvest record for Baltimore County Open Data Portal,04b-24005,success,[ArcGIS] Fetched 04b-24005 — Baltimore County Open Data Portal,225,0,0
05b-27007,Harvest record for Beltrami County Open GIS Data,05b-27007,success,[ArcGIS] Fetched 05b-27007 — Beltrami County Open GIS Data,46,0,0
16b-55005,Harvest record for Benton County Open Data,16b-55005,success,[ArcGIS] Fetched 16b-55005 — Benton County Open Data,48,0,0
05b-27011,Harvest record for Big Stone County Open Data,05b-27011,success,[ArcGIS] Fetched 05b-27011 — Big Stone County Open Data,15,0,0
11c-01-01,"Harvest record for CAGIS Open Data Hub for Cincinnati Area, Ohio",11c-01-01,error,[ArcGIS] Error fetching 11c-01-3: 403 Client Error: Forbidden for url: https://data-cagisportal.opendata.arcgis.com/api/feed/dcat-us/1.1.json,0,0,0
10b-55015,Harvest record for Calumet County GIS Download,10b-55015,success,[ArcGIS] Fetched 10b-55015 — Calumet County GIS Download,73,0,0
04b-24009,Harvest record for Calvert County Open GIS Data Portal,04b-24009,success,[ArcGIS] Fetched 04b-24009 — Calvert County Open GIS Data Portal,16,0,0
04b-24013,Harvest record for Carroll County GIS Open Data,04b-24013,error,[ArcGIS] Error fetching 04b-24013: 404 Client Error: Not Found for url: https://data-carrollco-md.opendata.arcgis.com/api/feed/dcat-us/1.1.json,0,0,0
05b-27019,Harvest record for Carver County GIS Data,05b-27019,error,[ArcGIS] Error fetching 05b-27019: 500 Server Error: Internal Server Error for url: https://data-carver.opendata.arcgis.com/api/feed/dcat-us/1.1.json,0,0,0
8856ec9a-47ac-4c79-bfba-643e97c0b62d,Harvest record for Center for Rural Pennsylvania Data Hub,8856ec9a-47ac-4c79-bfba-643e97c0b62d,success,[ArcGIS] Fetched 8856ec9a-47ac-4c79-bfba-643e97c0b62d — Center for Rural Pennsylvania Data Hub,277,0,0
08b-42027,Harvest record for Centre County Open Data,08b-42027,success,[ArcGIS] Fetched 08b-42027 — Centre County Open Data,99,0,0
08b-42029,Harvest record for Chester County GIS Data,08b-42029,success,[ArcGIS] Fetched 08b-42029 — Chester County GIS Data,125,0,0
05b-27023,Harvest record for Chippewa County Open GIS Data,05b-27023,success,[ArcGIS] Fetched 05b-27023 — Chippewa County Open GIS Data,7,0,0
16c-04,Harvest record for City of Bellevue Open Data,16c-04,success,[ArcGIS] Fetched 16c-04 — City of Bellevue Open Data,198,0,0
17c-04,Harvest record for City of Bend Open Data,17c-04,success,[ArcGIS] Fetched 17c-04 — Bend Open Data,138,1,0
02c-02,Harvest record for City of Champaign GIS,02c-02,success,[ArcGIS] Fetched 02c-02 — City of Champaign GIS,34,0,0
11c-03,Harvest record for City of Cleveland Open Data,11c-03,success,[ArcGIS] Fetched 11c-03 — City of Cleveland Open Data,256,0,0
17c-05,Harvest record for City of Corvallis GIS Data,17c-05,success,[ArcGIS] Fetched 17c-05 — City of Corvallis GIS Data,74,0,0
17c-02,Harvest record for City of Eugene Mapping Hub,17c-02,success,[ArcGIS] Fetched 17c-02 — City of Eugene Mapping Hub,106,0,0
13c-02,Harvest record for City of Grand Island Public GIS Data Portal,13c-02,success,[ArcGIS] Fetched 13c-02 — City of Grand Island Public GIS Data Portal,61,0,0
10c-03,"Harvest record for City of Madison, WI GIS Open Data Portal",10c-03,success,"[ArcGIS] Fetched 10c-03 — City of Madison, WI GIS Open Data Portal",145,0,0
14c-01,Harvest record for City of Newark GIN,14c-01,success,[ArcGIS] Fetched 14c-01 — City of Newark GIN,132,0,0
05c-02,Harvest record for City of Saint Paul GIS Data,05c-02,success,[ArcGIS] Fetched 05c-02 — City of Saint Paul GIS Data,133,0,0
16c-05,Harvest record for City of Vancouver Open Data Hub,16c-05,success,[ArcGIS] Fetched 16c-05 — City of Vancouver Open Data Hub,139,0,0
16b-53009,Harvest record for Clallam County GIS Portal,16b-53009,success,[ArcGIS] Fetched 16b-53009 — Clallam County GIS Portal,57,0,0
16b-53011,Harvest record for Clark County Open Data,16b-53011,success,[ArcGIS] Fetched 16b-53011 — Clark County Open Data,65,0,0
05b-27027,Harvest record for Clay County Open Data,05b-27027,success,[ArcGIS] Fetched 05b-27027 — Clay County Open Data,25,0,0
11b-39027,"Harvest record for Clinton County, Ohio, Geographic Information Systems",11b-39027,success,"[ArcGIS] Fetched 11b-39027 — Clinton County, Ohio, Geographic Information Systems",22,0,0
12f-01,Harvest record for CMAP (Chicago Metropolitan Agency for Planning) Data Hub,12f-01,success,[ArcGIS] Fetched 12f-01 — CMAP (Chicago Metropolitan Agency for Planning) Data Hub,377,0,0
11c-02,Harvest record for Columbus GIS,11c-02,success,[ArcGIS] Fetched 11c-02 — Columbus GIS,67,0,1
12b-17031,Harvest record for Cook Central,12b-17031,success,[ArcGIS] Fetched 12b-17031 — Cook Central,475,0,0
05b-27031,Harvest record for Cook County Open GIS Data,05b-27031,success,[ArcGIS] Fetched 05b-27031 — Cook County Open GIS Data,6,0,0
08b-42039,Harvest record for Crawford County Open Data,08b-42039,success,[ArcGIS] Fetched 08b-42039 — Crawford County Open Data,249,0,0
05b-27035,Harvest record for Crow Wing County GIS Hub,05b-27035,success,[ArcGIS] Fetched 05b-27035 — Crow Wing County GIS Hub,55,0,0
11b-39035,Harvest record for Cuyahoga County Open Data,11b-39035,success,[ArcGIS] Fetched 11b-39035 — Cuyahoga County Open Data,41,1,0
17c-03,Harvest record for Data Salem,17c-03,success,[ArcGIS] Fetched 17c-03 — Data Salem,196,1,0
08b-42043,Harvest record for Dauphin County GIS Data Portal,08b-42043,success,[ArcGIS] Fetched 08b-42043 — Dauphin County GIS Data Portal,30,0,0
11b-39041,Harvest record for Delaware County GIS,11b-39041,success,[ArcGIS] Fetched 11b-39041 — Delaware County GIS,40,0,0
04f-01,Harvest record for Delaware Valley Regional Planning Commission (DVRPC),04f-01,success,[ArcGIS] Fetched 04f-01 — Delaware Valley Regional Planning Commission (DVRPC),171,0,0
07c-01,Harvest record for Detroit Open Data,07c-01,success,[ArcGIS] Fetched 07c-01 — Detroit Open Data,340,0,0
10b-55025,"Harvest record for Discover Dane County, WI",10b-55025,success,"[ArcGIS] Fetched 10b-55025 — Discover Dane County, WI",36,0,0
16b-53017,Harvest record for Douglas County Mapping and Data Portal,16b-53017,success,[ArcGIS] Fetched 16b-53017 — Douglas County Mapping and Data Portal,153,1,0
05b-27041,Harvest record for Douglas County Open Data Portal,05b-27041,success,[ArcGIS] Fetched 05b-27041 — Douglas County Open Data Portal,28,0,0
12b-17043,Harvest record for DuPage County GIS,12b-17043,success,[ArcGIS] Fetched 12b-17043 — DuPage County GIS,115,0,0
10b-55035,Harvest record for Eau Claire County Geospatial Hub,10b-55035,success,"[ArcGIS] Fetched 10b-55035 — GIS Divison of Eau Claire County, WI",38,0,0
02c-01,"Harvest record for Evanston, Illinois Open Data Hub",02c-01,success,"[ArcGIS] Fetched 02c-01 — Evanston, Illinois Open Data Hub",66,0,0
01b-18163,"Harvest record for Evansville, Vanderburgh County, Indiana Open Data Collection",01b-18163,success,"[ArcGIS] Fetched 01b-18163 — Evansville, Vanderburgh County, Indiana Open Data Collection",63,0,0
11b-39049,"Harvest record for Franklin County Auditor, Ohio Open Data",11b-39049,success,"[ArcGIS] Fetched 11b-39049 — Franklin County Auditor, Ohio Open Data",75,0,0
04b-24021,Harvest record for Frederick County Open Data,04b-24021,success,[ArcGIS] Fetched 04b-24021 — Frederick County Open Data,130,0,0
10b-55125,"Harvest record for Geodata Hub of Vilas County, WI",10b-55125,success,[ArcGIS] Fetched 10b-55125 — Vilas County GIS Download,58,0,0
11b-39097,"Harvest record for GIS Data Downloads for Madison County, Ohio",11b-39097,success,"[ArcGIS] Fetched 11b-39097 — GIS Data Downloads for Madison County, Ohio",135,0,0
11b-39119,"Harvest record for GIS Data Downloads for Muskingum County, Ohio",11b-39119,success,"[ArcGIS] Fetched 11b-39119 — GIS Data Downloads for Muskingum County, Ohio",57,1,2
10b-55035,"Harvest record for GIS Divison of Eau Claire County, WI",10b-55035,success,"[ArcGIS] Fetched 10b-55035 — GIS Divison of Eau Claire County, WI",38,0,0
07c-03,"Harvest record for Grand Rapids, Michigan Open Data",07c-03,success,"[ArcGIS] Fetched 07c-03 — Grand Rapids, Michigan Open Data",40,0,0
05b-27051,Harvest record for Grant County Open Data Hub,05b-27051,success,[ArcGIS] Fetched 05b-27051 — Grant County Open Data Hub,22,0,0
16b-53025,Harvest record for Grant County Open Data Portal,16b-53025,success,[ArcGIS] Fetched 16b-53025 — Grant County Open Data Portal,71,0,0
