name,order,type,field_uri,description,definition,separator,constraints
ID,1,string,geomg_id,Primary key and resource URL slug,https://opengeometadata.org/ogm-aardvark/#id,,{'required': True}
Code,2,string,b1g_code_s,Internal grouping or tracking code,https://gin.btaa.org/metadata/b1g/#code,,
Title,3,string,dct_title_s,Name of the resource,https://opengeometadata.org/ogm-aardvark/#title,,
Alternative Title,4,string,dct_alternative_sm,Previous or secondary title,https://opengeometadata.org/ogm-aardvark/#alternative-title,|,
Description,5,string,dct_description_sm,Summary of the resource,https://opengeometadata.org/ogm-aardvark/#description,|,
Language,6,string,dct_language_sm,Language code for the resource,https://opengeometadata.org/ogm-aardvark/#language,|,
Display Note,7,string,gbl_displayNote_sm,User-facing notes such as warnings or usage tips,https://opengeometadata.org/ogm-aardvark/#display-note,|,
Creator,8,string,dct_creator_sm,Person or organization that originally authored the resource,https://opengeometadata.org/ogm-aardvark/#creator,|,
Creator ID,9,string,b1g_creatorID_sm,URI identifying the creator (OCLC FAST),https://gin.btaa.org/metadata/b1g/#creator-id,,
Publisher,10,string,dct_publisher_sm,Entity that made the resource available,https://opengeometadata.org/ogm-aardvark/#publisher,|,
Provider,11,string,schema_provider_s,Institution hosting the resource in an archival repository,https://opengeometadata.org/ogm-aardvark/#provider,,
Resource Class,12,string,gbl_resourceClass_sm,Top-level category,https://opengeometadata.org/ogm-aardvark/#resource-class,|,'^(Collections|Datasets|Imagery|Maps|Other|Series|Web services|Websites)(\\|(Collections|Datasets|Imagery|Maps|Other|Series|Web services|Websites))*$'
Resource Type,13,string,gbl_resourceType_sm,Secondary category,https://opengeometadata.org/ogm-aardvark/#resource-type,|,
Subject,14,string,dct_subject_sm,Controlled vocabulary from the library metadata domain,https://opengeometadata.org/ogm-aardvark/#subject,|,
Theme,15,string,dcat_theme_sm,Controlled vocabulary from the GIS metadata domain,https://opengeometadata.org/ogm-aardvark/#theme,|,
Keyword,16,string,dcat_keyword_sm,Free-text terms to improve search,https://opengeometadata.org/ogm-aardvark/#keyword,|,
Local Collection,17,string,b1g_localCollectionLabel_sm,Subcollection defined by the Publisher or Provider,https://gin.btaa.org/metadata/b1g/#local-collection,,
Temporal Coverage,18,string,dct_temporal_sm,Textual description of the time period depicted,https://opengeometadata.org/ogm-aardvark/#temporal-coverage,|,
Date Issued,19,string,dct_issued_s,Publication date,https://opengeometadata.org/ogm-aardvark/#date-issued,,
Index Year,20,integer,gbl_indexYear_im,Single year used for search,https://opengeometadata.org/ogm-aardvark/#index-year,|,
Date Range,21,string,gbl_dateRange_drsim,Year range used to power temporal search,https://opengeometadata.org/ogm-aardvark/#date-range,,
Spatial Coverage,22,string,dct_spatial_sm,Searchable and selectable place names,https://opengeometadata.org/ogm-aardvark/#spatial-coverage,|,
Bounding Box,23,string,dcat_bbox,Spatial extent used for search relevance,https://opengeometadata.org/ogm-aardvark/#bounding-box,,
Geometry,24,string,locn_geometry,Spatial extent displayed on the map and used for map search,https://opengeometadata.org/ogm-aardvark/#geometry,,
Centroid,25,string,dcat_centroid,Center point of the resource’s bounding box,https://opengeometadata.org/ogm-aardvark/#centroid,,
Coordinate Reference System,26,string,b1g_dct_conformsTo_sm,Coordinate reference system of the resource,https://gin.btaa.org/metadata/b1g/#conforms-to,,
Spatial Resolution in Meters,27,string,b1g_dcat_spatialResolutionInMeters_sm,Numeric spatial resolution of a raster dataset,https://gin.btaa.org/metadata/b1g/#spatial-resolution-in-meters,,
Spatial Resolution as Text,28,string,b1g_dcat_spatialResolutionInMeters_s,Human-readable description of spatial resolution,https://gin.btaa.org/metadata/b1g/#spatial-resolution-as-text,,
Georeferenced,29,string,gbl_georeferenced_b,Whether a scanned map is georeferenced,https://opengeometadata.org/ogm-aardvark/#georeferenced,,
GeoNames,30,string,b1g_geonames_sm,URI for a place name from the GeoNames database,https://gin.btaa.org/metadata/b1g/#geonames,,
Access Rights,31,string,dct_accessRights_s,Whether the resource is openly available or requires authentication,https://opengeometadata.org/ogm-aardvark/#access-rights,,"{'enum': ['Public', 'Restricted']}"
Rights,32,string,dct_rights_sm,"Free-text rights, usage, or copyright information",https://opengeometadata.org/ogm-aardvark/#rights_1,|,
License,33,string,dct_license_sm,URI identifying a specific license,https://opengeometadata.org/ogm-aardvark/#license,|,
Rights Holder,34,string,dct_rightsHolder_sm,Person or organization that owns or controls rights for this version,https://opengeometadata.org/ogm-aardvark/#rights-holder,|,
Suppressed Record,35,string,gbl_suppressed_b,Flag that hides the record from public search,https://opengeometadata.org/ogm-aardvark/#suppressed,,
Deprioritize,36,string,b1g_deprioritized_b,Flag that lowers a record’s ranking in search results,https://gin.btaa.org/metadata/b1g/#child-record,,
Mediator,37,string,b1g_dct_mediator_sm,Institutions that provide authentication for licensed resources,https://gin.btaa.org/metadata/b1g/#mediator,,
Access,38,string,b1g_access_s,Links for accessing restricted resources,https://gin.btaa.org/metadata/b1g/#access,,
File Size,39,string,gbl_fileSize_s,Size of the downloadable file,https://opengeometadata.org/ogm-aardvark/#file-size,,
B1G Image,40,string,b1g_image_ss,Thumbnail displayed in search results,https://gin.btaa.org/metadata/b1g/#image,,
Format,41,string,dct_format_s,File format displayed to users,https://opengeometadata.org/ogm-aardvark/#format,,
Member Of,42,string,pcdm_memberOf_sm,Collection to which the resource belongs,https://opengeometadata.org/ogm-aardvark/#member-of,|,
Is Part Of,43,string,dct_isPartOf_sm,Parent item of which this resource is a subset,https://opengeometadata.org/ogm-aardvark/#is-part-of,|,
Source,44,string,dct_source_sm,Resource from which this item was derived,https://opengeometadata.org/ogm-aardvark/#source,|,
Is Version Of,45,string,dct_isVersionOf_sm,Related item from the same series,https://opengeometadata.org/ogm-aardvark/#is-version-of,|,
Replaces,46,string,dct_replaces_sm,Deprecated item superseded by this resource,https://opengeometadata.org/ogm-aardvark/#replaces,|,
Relation,47,string,dct_relation_sm,"General, unspecified relationship to another item",https://opengeometadata.org/ogm-aardvark/#relation,|,
Date Accessioned,48,string,b1g_dateAccessioned_dt,Date the record was added,https://gin.btaa.org/metadata/b1g/#date-accessioned,,
Date Retired,49,string,b1g_dateRetired_dt,Date the record was removed or unpublished,https://gin.btaa.org/metadata/b1g/#date-retired,,
Publication State,50,string,b1g_publication_state_s,Whether the record is visible in the geoportal,https://gin.btaa.org/metadata/b1g/#publication-state,,
Identifier,51,string,dct_identifier_sm,General-purpose identifier,https://opengeometadata.org/ogm-aardvark/#identifier,|,
